code,script,fertility,fertility_decoder,tokens_per_char,alignment,num_tokenizers
mkd_Cyrl,Cyrl,52.57,65.86,0.3491,0.8743,4
mlt_Latn,Latn,63.645,65.49,0.4138,0.4993,4
mni_Beng,Beng,131.16,178.76,0.8938,0.0923,4
mos_Latn,Latn,57.805,60.13,0.4497,0.1365,4
mri_Latn,Latn,63.26,66.74,0.4045,0.3062,4
mya_Mymr,Mymr,178.235,299.35,1.0193,0.3068,4
nld_Latn,Latn,41.515,45.84,0.2622,0.9291,4
nno_Latn,Latn,43.657,48.345,0.2985,0.8897,4
nob_Latn,Latn,40.605,45.93,0.2834,0.9427,4
npi_Deva,Deva,70.172,102.825,0.5117,0.5603,4
nso_Latn,Latn,58.13,61.02,0.3673,0.2745,4
nus_Latn,Latn,100.218,111.765,0.6414,0.084,4
nya_Latn,Latn,54.242,58.285,0.3526,0.2789,4
oci_Latn,Latn,50.207,52.355,0.3135,0.7857,4
ory_Orya,Orya,183.642,321.045,1.2675,0.4286,4
pag_Latn,Latn,45.992,47.795,0.3057,0.3893,4
pan_Guru,Guru,133.922,216.345,0.9566,0.472,4
pap_Latn,Latn,47.655,50.53,0.3158,0.5911,4
pbt_Arab,Arab,61.782,80.235,0.4629,0.4827,4
pes_Arab,Arab,47.37,59.38,0.3601,0.8079,4
plt_Latn,Latn,58.43,65.23,0.3369,0.2942,4
pol_Latn,Latn,47.255,54.74,0.3098,0.8869,4
por_Latn,Latn,39.27,42.59,0.2551,0.986,4
prs_Arab,Arab,46.06,57.44,0.3638,0.8032,4
quy_Latn,Latn,56.16,60.18,0.368,0.1947,4
ron_Latn,Latn,47.562,54.435,0.2956,0.9271,4
run_Latn,Latn,63.12,66.36,0.3735,0.2408,4
rus_Cyrl,Cyrl,45.415,51.92,0.2918,0.9374,4
sag_Latn,Latn,64.75,67.16,0.4032,0.1703,4
san_Deva,Deva,80.24,110.24,0.564,0.3672,4
sat_Olck,Olck,176.915,301.32,1.2359,0.0089,4
scn_Latn,Latn,54.042,57.075,0.3587,0.5241,4
shn_Mymr,Mymr,254.202,365.005,1.2454,0.092,4
sin_Sinh,Sinh,137.458,230.135,0.9651,0.376,4
slk_Latn,Latn,46.41,55.18,0.3343,0.8748,4
slv_Latn,Latn,45.8,54.1,0.3196,0.8459,4
smo_Latn,Latn,67.237,68.985,0.3861,0.2797,4
sna_Latn,Latn,56.733,60.495,0.3607,0.2536,4
snd_Arab,Arab,62.158,82.545,0.4907,0.5156,4
som_Latn,Latn,54.242,63.755,0.3334,0.3008,4
sot_Latn,Latn,61.945,65.15,0.359,0.2873,4
spa_Latn,Latn,41.635,44.68,0.2459,0.9622,4
srd_Latn,Latn,53.735,56.43,0.3333,0.551,4
srp_Cyrl,Cyrl,54.123,68.515,0.38,0.8632,4
ssw_Latn,Latn,55.987,60.485,0.3663,0.2228,4
sun_Latn,Latn,45.677,52.395,0.3134,0.5858,4
swe_Latn,Latn,40.413,45.725,0.2823,0.9568,4
swh_Latn,Latn,46.615,55.61,0.3167,0.5575,4
szl_Latn,Latn,57.185,61.16,0.3931,0.5556,4
tam_Taml,Taml,122.507,199.995,0.7416,0.4576,4
taq_Latn,Latn,61.96,65.11,0.4647,0.1548,4
taq_Tfng,Tfng,138.835,218.01,1.0472,0.016,4
tat_Cyrl,Cyrl,72.17,86.72,0.5065,0.4509,4
tel_Telu,Telu,131.96,221.79,0.931,0.4514,4
tgk_Cyrl,Cyrl,74.875,82.68,0.4882,0.4035,4
tgl_Latn,Latn,52.232,57.985,0.2987,0.7101,4
tha_Thai,Thai,53.477,70.815,0.3853,0.7372,4
tir_Ethi,Ethi,120.205,175.56,1.2278,0.1217,4
tpi_Latn,Latn,58.575,59.94,0.3169,0.3794,4
tsn_Latn,Latn,59.685,62.68,0.3572,0.2438,4
tso_Latn,Latn,61.155,64.41,0.3625,0.1925,4
tuk_Latn,Latn,64.2,67.46,0.4036,0.3445,4
tum_Latn,Latn,70.853,76.405,0.3662,0.2019,4
tur_Latn,Latn,39.255,44.49,0.266,0.7983,4
twi_Latn,Latn,61.802,64.935,0.4665,0.2326,4
tzm_Tfng,Tfng,134.465,218.43,1.0736,0.0128,4
uig_Arab,Arab,77.085,110.93,0.5422,0.3694,4
ukr_Cyrl,Cyrl,50.822,61.955,0.3531,0.881,4
umb_Latn,Latn,57.405,60.67,0.38,0.1304,4
urd_Arab,Arab,65.265,90.35,0.4694,0.6477,4
uzn_Latn,Latn,53.468,63.595,0.3305,0.5385,4
vec_Latn,Latn,47.377,49.585,0.3305,0.6962,4
vie_Latn,Latn,40.25,41.9,0.2687,0.9441,4
war_Latn,Latn,51.91,54.79,0.2977,0.5102,4
wol_Latn,Latn,52.572,54.615,0.3908,0.2071,4
xho_Latn,Latn,53.73,58.85,0.3666,0.2931,4
ydd_Hebr,Hebr,85.735,119.99,0.5692,0.4081,4
yor_Latn,Latn,74.903,77.825,0.5577,0.204,4
yue_Hant,Hant,33.195,35.81,0.7624,0.927,4
zho_Hans,Hans,33.627,34.805,0.7016,0.9332,4
zho_Hant,Hant,34.16,37.03,0.7736,0.9193,4
zsm_Latn,Latn,38.865,47.01,0.2473,0.9425,4
zul_Latn,Latn,57.013,62.935,0.3664,0.2833,4
