code,sentence-transformers/LaBSE_max,sentence-transformers/LaBSE_mean,avg
mri_Latn,0.9625,0.5695,0.9625
nno_Latn,0.999,0.8474,0.999
aka_Latn,0.4536,0.0974,0.4536
ars_Arab,1.0,0.8104,1.0
prs_Arab,1.0,0.8455,1.0
ssw_Latn,0.8083,0.3753,0.8083
sun_Latn,0.997,0.8262,0.997
jav_Latn,1.0,0.8389,1.0
zho_Hans,0.999,0.7326,0.999
hye_Armn,1.0,0.7331,1.0
bem_Latn,0.5563,0.1857,0.5563
khm_Khmr,0.9783,0.5583,0.9783
ory_Orya,1.0,0.7433,1.0
min_Arab,0.0563,0.0132,0.0563
ind_Latn,1.0,0.9355,1.0
uzn_Latn,0.999,0.716,0.999
pol_Latn,1.0,0.8134,1.0
bos_Latn,1.0,0.8865,1.0
kea_Latn,0.8458,0.4764,0.8458
mos_Latn,0.3004,0.0502,0.3004
cym_Latn,1.0,0.7671,1.0
acm_Arab,0.997,0.7843,0.997
ilo_Latn,0.6828,0.2346,0.6828
ast_Latn,0.996,0.7431,0.996
tpi_Latn,0.5247,0.1491,0.5247
khk_Cyrl,0.999,0.7787,0.999
amh_Ethi,1.0,0.7211,1.0
tir_Ethi,0.2678,0.0504,0.2678
knc_Latn,0.3271,0.0601,0.3271
san_Deva,0.8024,0.2188,0.8024
mai_Deva,0.997,0.4656,0.997
crh_Latn,0.9783,0.5528,0.9783
knc_Arab,0.0435,0.009,0.0435
pan_Guru,1.0,0.7036,1.0
pbt_Arab,0.9901,0.6005,0.9901
run_Latn,0.9565,0.5141,0.9565
kmr_Latn,0.9921,0.6556,0.9921
kir_Cyrl,0.999,0.7454,0.999
apc_Arab,0.9941,0.7494,0.9941
twi_Latn,0.4872,0.1145,0.4872
pes_Arab,1.0,0.855,1.0
hin_Deva,1.0,0.7829,1.0
tel_Telu,1.0,0.7472,1.0
luo_Latn,0.3696,0.0993,0.3696
war_Latn,0.9931,0.6441,0.9931
lit_Latn,0.996,0.8123,0.996
epo_Latn,1.0,0.8519,1.0
sot_Latn,0.9862,0.5796,0.9862
kas_Arab,0.6532,0.1819,0.6532
uig_Arab,0.997,0.709,0.997
bak_Cyrl,0.5642,0.1213,0.5642
min_Latn,0.8626,0.474,0.8626
ron_Latn,1.0,0.8294,1.0
ita_Latn,1.0,0.8613,1.0
pag_Latn,0.7095,0.3301,0.7095
ces_Latn,1.0,0.8664,1.0
lao_Laoo,0.9704,0.554,0.9704
bho_Deva,0.9773,0.5051,0.9773
als_Latn,1.0,0.8112,1.0
fij_Latn,0.3864,0.0997,0.3864
ewe_Latn,0.3597,0.0566,0.3597
est_Latn,1.0,0.8311,1.0
zsm_Latn,1.0,0.9218,1.0
grn_Latn,0.5138,0.1213,0.5138
tum_Latn,0.7006,0.2487,0.7006
zho_Hant,0.9941,0.7302,0.9941
rus_Cyrl,1.0,0.8478,1.0
kin_Latn,0.9931,0.6968,0.9931
tgk_Cyrl,0.996,0.7067,0.996
hne_Deva,0.9852,0.5699,0.9852
ydd_Hebr,0.9891,0.5794,0.9891
nya_Latn,0.9852,0.6662,0.9852
arb_Latn,0.1719,0.0357,0.1719
lua_Latn,0.4872,0.1631,0.4872
ace_Arab,0.0504,0.0151,0.0504
mag_Deva,0.997,0.6132,0.997
asm_Beng,0.9802,0.5049,0.9802
fur_Latn,0.8794,0.4365,0.8794
ukr_Cyrl,1.0,0.8159,1.0
lug_Latn,0.5198,0.1854,0.5198
dyu_Latn,0.25,0.0469,0.25
slk_Latn,0.999,0.8507,0.999
dik_Latn,0.3804,0.0815,0.3804
cjk_Latn,0.3864,0.1074,0.3864
szl_Latn,0.9466,0.492,0.9466
kik_Latn,0.4417,0.0849,0.4417
fin_Latn,0.999,0.8039,0.999
tzm_Tfng,0.0395,0.0094,0.0395
ace_Latn,0.665,0.2446,0.665
isl_Latn,0.998,0.7985,0.998
snd_Arab,1.0,0.6533,1.0
taq_Tfng,0.0435,0.0091,0.0435
arb_Arab,1.0,0.8129,1.0
kor_Hang,0.999,0.7832,0.999
kan_Knda,1.0,0.7163,1.0
ibo_Latn,0.9822,0.6183,0.9822
tuk_Latn,0.9881,0.6225,0.9881
ltz_Latn,0.999,0.7445,0.999
quy_Latn,0.33,0.0619,0.33
nob_Latn,0.999,0.8924,0.999
sna_Latn,0.9664,0.5813,0.9664
lmo_Latn,0.835,0.3642,0.835
hun_Latn,1.0,0.8076,1.0
lvs_Latn,1.0,0.8129,1.0
tat_Cyrl,1.0,0.7464,1.0
dzo_Tibt,0.2806,0.0348,0.2806
mal_Mlym,0.999,0.6488,0.999
fuv_Latn,0.3577,0.11,0.3577
plt_Latn,0.996,0.6396,0.996
bul_Cyrl,1.0,0.8446,1.0
