,gemma2-9B,gemma-7B,llama3.1-70B,llama3.1-8B,llama3-8B,llama2-7B,llama1-7B,mistral-7B,olmo-7B,avg
nno_Latn,0.5551,0.4192,0.4287,0.3873,0.3921,0.1554,0.2579,0.3491,0.0487,0.3326
bos_Latn,0.5386,0.3935,0.4117,0.3905,0.3949,0.1071,0.3079,0.3970,0.0341,0.3306
oci_Latn,0.4983,0.3387,0.4274,0.3891,0.3937,0.1400,0.2859,0.3610,0.0691,0.3226
bul_Cyrl,0.5553,0.4052,0.3713,0.3784,0.3762,0.0623,0.2959,0.3906,0.0182,0.3170
hrv_Latn,0.5342,0.3925,0.3934,0.3720,0.3723,0.0921,0.2844,0.3844,0.0276,0.3170
afr_Latn,0.5466,0.4076,0.4291,0.3893,0.3931,0.0811,0.2300,0.3318,0.0428,0.3168
vie_Latn,0.5667,0.4289,0.5035,0.4588,0.4559,0.0507,0.0474,0.3032,0.0134,0.3143
zsm_Latn,0.5716,0.4330,0.4374,0.4017,0.4039,0.0758,0.1417,0.3139,0.0412,0.3134
slv_Latn,0.5327,0.3829,0.3960,0.3536,0.3579,0.0993,0.2898,0.3682,0.0205,0.3112
hun_Latn,0.5364,0.3779,0.3830,0.3685,0.3686,0.0741,0.2683,0.3586,0.0165,0.3058
slk_Latn,0.5482,0.4044,0.4072,0.3740,0.3712,0.0606,0.2373,0.3224,0.0251,0.3056
srp_Cyrl,0.5354,0.3798,0.3569,0.3592,0.3594,0.0597,0.3012,0.3858,0.0125,0.3055
jpn_Jpan,0.5479,0.4145,0.4113,0.4047,0.4124,0.0392,0.1155,0.2938,0.0214,0.2956
mkd_Cyrl,0.5187,0.3632,0.3779,0.3569,0.3602,0.0421,0.2152,0.3126,0.0134,0.2845
vec_Latn,0.4733,0.3268,0.4006,0.3466,0.3431,0.0794,0.2209,0.2895,0.0453,0.2806
arb_Arab,0.5403,0.4044,0.4062,0.3943,0.3896,0.0216,0.0532,0.2339,0.0055,0.2721
kor_Hang,0.5015,0.3465,0.4068,0.3945,0.3901,0.0247,0.0661,0.2876,0.0102,0.2698
ars_Arab,0.5409,0.4043,0.4019,0.3891,0.3829,0.0211,0.0508,0.2295,0.0047,0.2695
fin_Latn,0.5304,0.3756,0.3683,0.3332,0.3542,0.0578,0.1129,0.2489,0.0289,0.2678
pes_Arab,0.5512,0.4069,0.4187,0.4042,0.3921,0.0062,0.0361,0.1618,0.0058,0.2648
tgl_Latn,0.5157,0.3315,0.3887,0.3080,0.3105,0.0598,0.1241,0.2807,0.0421,0.2624
epo_Latn,0.4929,0.3327,0.4047,0.3475,0.3503,0.0415,0.1168,0.2212,0.0257,0.2592
tur_Latn,0.5215,0.3797,0.4523,0.3719,0.3648,0.0132,0.0348,0.1767,0.0099,0.2583
acq_Arab,0.5258,0.3799,0.3819,0.3712,0.3655,0.0199,0.0426,0.2109,0.0053,0.2559
acm_Arab,0.5149,0.3675,0.3739,0.3792,0.3686,0.0148,0.0439,0.2194,0.0052,0.2541
prs_Arab,0.5373,0.3947,0.4087,0.3650,0.3632,0.0045,0.0282,0.1410,0.0084,0.2501
ell_Grek,0.5275,0.3480,0.3554,0.3596,0.3663,0.0101,0.0388,0.1712,0.0061,0.2425
apc_Arab,0.4948,0.3512,0.3664,0.3631,0.3440,0.0197,0.0400,0.1856,0.0053,0.2411
ajp_Arab,0.5022,0.3561,0.3652,0.3557,0.3394,0.0120,0.0356,0.1798,0.0065,0.2391
lim_Latn,0.3872,0.2739,0.3647,0.3232,0.3208,0.0639,0.1568,0.2222,0.0360,0.2388
arz_Arab,0.4860,0.3292,0.3596,0.3573,0.3484,0.0121,0.0359,0.1847,0.0069,0.2356
tha_Thai,0.5129,0.3605,0.3437,0.3817,0.3776,0.0081,0.0133,0.0989,0.0068,0.2337
lit_Latn,0.5263,0.3449,0.3711,0.2953,0.3003,0.0190,0.0571,0.1608,0.0130,0.2320
hin_Deva,0.5213,0.3545,0.3705,0.3341,0.3364,0.0033,0.0212,0.1158,0.0044,0.2291
heb_Hebr,0.5376,0.3969,0.3127,0.3048,0.3104,0.0126,0.0262,0.1238,0.0038,0.2254
est_Latn,0.5169,0.3445,0.3647,0.2857,0.2888,0.0272,0.0538,0.1210,0.0149,0.2242
szl_Latn,0.3763,0.2422,0.3354,0.2679,0.2739,0.0499,0.1523,0.2498,0.0245,0.2191
pap_Latn,0.3894,0.2131,0.3666,0.2822,0.2801,0.0553,0.1405,0.1952,0.0453,0.2186
lij_Latn,0.3557,0.2314,0.3573,0.2720,0.2683,0.0614,0.1564,0.2087,0.0396,0.2167
fur_Latn,0.3404,0.2281,0.3666,0.2853,0.2759,0.0604,0.1600,0.1981,0.0319,0.2163
aeb_Arab,0.4474,0.3066,0.3358,0.3229,0.3100,0.0151,0.0342,0.1670,0.0058,0.2161
bel_Cyrl,0.4755,0.2795,0.3443,0.3162,0.3192,0.0081,0.0379,0.1551,0.0028,0.2154
lmo_Latn,0.3371,0.2182,0.3450,0.2707,0.2720,0.0707,0.1526,0.2247,0.0452,0.2151
lvs_Latn,0.5187,0.3285,0.3447,0.2764,0.2764,0.0129,0.0297,0.1315,0.0078,0.2141
scn_Latn,0.3723,0.2277,0.3556,0.2918,0.2861,0.0514,0.1224,0.1764,0.0278,0.2124
als_Latn,0.4505,0.2591,0.3771,0.2913,0.2941,0.0241,0.0435,0.1419,0.0112,0.2103
ceb_Latn,0.4037,0.2111,0.3507,0.2523,0.2485,0.0427,0.1073,0.1796,0.0347,0.2034
srd_Latn,0.3472,0.2244,0.3450,0.2660,0.2610,0.0458,0.1261,0.1771,0.0319,0.2027
ltz_Latn,0.3907,0.2132,0.3384,0.2674,0.2594,0.0298,0.1024,0.1572,0.0196,0.1976
swh_Latn,0.4994,0.3190,0.3305,0.2047,0.2387,0.0204,0.0403,0.0755,0.0097,0.1931
mlt_Latn,0.4492,0.2231,0.3299,0.2502,0.2502,0.0260,0.0715,0.1007,0.0097,0.1901
kea_Latn,0.2997,0.2114,0.3097,0.2354,0.2373,0.0497,0.1188,0.1773,0.0270,0.1851
urd_Arab,0.4397,0.2667,0.3273,0.2697,0.2559,0.0061,0.0073,0.0885,0.0025,0.1848
war_Latn,0.3388,0.1929,0.3505,0.2226,0.2189,0.0558,0.1038,0.1348,0.0313,0.1833
sun_Latn,0.2989,0.1768,0.3475,0.2528,0.2453,0.0497,0.0839,0.1457,0.0307,0.1813
jav_Latn,0.3440,0.1965,0.3471,0.2456,0.2426,0.0368,0.0692,0.1164,0.0303,0.1809
eus_Latn,0.3990,0.2507,0.3311,0.2472,0.2483,0.0092,0.0497,0.0602,0.0058,0.1779
cym_Latn,0.4162,0.1724,0.3386,0.2520,0.2538,0.0188,0.0509,0.0844,0.0115,0.1776
ary_Arab,0.3566,0.2415,0.3084,0.2448,0.2495,0.0095,0.0300,0.1302,0.0058,0.1751
isl_Latn,0.3907,0.1871,0.3297,0.2333,0.2338,0.0160,0.0483,0.1130,0.0081,0.1733
mag_Deva,0.3593,0.1981,0.3180,0.2843,0.2745,0.0023,0.0173,0.0790,0.0040,0.1707
ban_Latn,0.1693,0.1267,0.3458,0.2372,0.2373,0.0679,0.0983,0.1778,0.0409,0.1668
bjn_Latn,0.2545,0.1934,0.3239,0.2260,0.2216,0.0435,0.0730,0.1277,0.0275,0.1657
min_Latn,0.2186,0.1687,0.3284,0.2372,0.2357,0.0441,0.0803,0.1346,0.0272,0.1639
awa_Deva,0.3514,0.2101,0.3010,0.2532,0.2582,0.0037,0.0183,0.0634,0.0056,0.1628
hat_Latn,0.3370,0.1399,0.3390,0.2126,0.2011,0.0258,0.0706,0.1204,0.0143,0.1623
fao_Latn,0.2904,0.1573,0.3158,0.2256,0.2251,0.0228,0.0717,0.1341,0.0137,0.1618
npi_Deva,0.3987,0.2170,0.2912,0.2163,0.2163,0.0023,0.0126,0.0604,0.0035,0.1576
mar_Deva,0.4083,0.2117,0.3124,0.2265,0.2051,0.0033,0.0058,0.0320,0.0030,0.1564
ben_Beng,0.4237,0.2291,0.2633,0.2000,0.2089,0.0026,0.0059,0.0636,0.0040,0.1557
azj_Latn,0.3620,0.1982,0.3120,0.2072,0.2154,0.0019,0.0080,0.0680,0.0021,0.1528
hye_Armn,0.4406,0.2267,0.2261,0.1772,0.1809,0.0006,0.0055,0.0279,0.0004,0.1429
hne_Deva,0.2916,0.1694,0.2944,0.2284,0.2237,0.0011,0.0100,0.0483,0.0037,0.1412
uzn_Latn,0.3232,0.1523,0.3063,0.1952,0.1963,0.0087,0.0197,0.0592,0.0058,0.1407
crh_Latn,0.2420,0.1512,0.3022,0.1968,0.1891,0.0134,0.0359,0.1020,0.0083,0.1379
bho_Deva,0.1825,0.1481,0.3137,0.2437,0.2419,0.0040,0.0167,0.0719,0.0044,0.1363
tpi_Latn,0.2674,0.1167,0.2534,0.1473,0.1438,0.0396,0.0844,0.1124,0.0329,0.1331
mai_Deva,0.2591,0.1415,0.3056,0.2084,0.2069,0.0025,0.0109,0.0480,0.0047,0.1320
pag_Latn,0.1387,0.1067,0.2366,0.1519,0.1609,0.0732,0.1170,0.1300,0.0586,0.1304
ilo_Latn,0.2290,0.1060,0.2740,0.1515,0.1583,0.0336,0.0702,0.0973,0.0219,0.1269
gle_Latn,0.2392,0.0742,0.3069,0.1901,0.1917,0.0160,0.0521,0.0616,0.0092,0.1268
hau_Latn,0.2957,0.1269,0.2899,0.1506,0.1475,0.0171,0.0435,0.0458,0.0151,0.1258
kaz_Cyrl,0.2028,0.1336,0.3003,0.1970,0.1979,0.0014,0.0253,0.0679,0.0010,0.1252
tat_Cyrl,0.2129,0.1198,0.2903,0.1923,0.1806,0.0120,0.0245,0.0538,0.0010,0.1208
tam_Taml,0.3898,0.2069,0.1870,0.1199,0.1173,0.0011,0.0088,0.0215,0.0021,0.1172
guj_Gujr,0.3939,0.1967,0.1970,0.1087,0.1065,0.0009,0.0039,0.0091,0.0046,0.1135
pan_Guru,0.3781,0.1740,0.2106,0.1234,0.1227,0.0006,0.0011,0.0059,0.0032,0.1133
kat_Geor,0.3182,0.1576,0.1781,0.1471,0.1452,0.0016,0.0091,0.0398,0.0003,0.1108
ydd_Hebr,0.3252,0.1404,0.2304,0.1357,0.1305,0.0042,0.0074,0.0108,0.0012,0.1095
tel_Telu,0.3485,0.1885,0.1732,0.1115,0.1224,0.0006,0.0041,0.0119,0.0024,0.1070
pbt_Arab,0.1829,0.0678,0.2959,0.1808,0.1784,0.0033,0.0173,0.0320,0.0034,0.1069
bak_Cyrl,0.2167,0.1172,0.2674,0.1463,0.1454,0.0023,0.0218,0.0364,0.0034,0.1063
kan_Knda,0.3505,0.1648,0.1662,0.1164,0.1190,0.0006,0.0030,0.0199,0.0043,0.1050
mal_Mlym,0.3678,0.1823,0.1809,0.0945,0.1006,0.0022,0.0042,0.0053,0.0022,0.1044
kir_Cyrl,0.1923,0.0989,0.2761,0.1496,0.1463,0.0044,0.0197,0.0389,0.0016,0.1031
tgk_Cyrl,0.2172,0.0695,0.2561,0.1496,0.1517,0.0095,0.0176,0.0345,0.0031,0.1010
snd_Arab,0.2137,0.0779,0.2646,0.1575,0.1576,0.0025,0.0065,0.0165,0.0030,0.1000
asm_Beng,0.2499,0.1062,0.2100,0.1080,0.1102,0.0008,0.0023,0.0199,0.0027,0.0900
lus_Latn,0.1633,0.0335,0.2104,0.1003,0.0918,0.0219,0.0718,0.0846,0.0242,0.0891
gla_Latn,0.1490,0.0395,0.2561,0.1296,0.1210,0.0129,0.0389,0.0439,0.0106,0.0891
tuk_Latn,0.1771,0.0922,0.2281,0.1139,0.1100,0.0026,0.0235,0.0425,0.0038,0.0882
ltg_Latn,0.1230,0.0902,0.2157,0.1141,0.1118,0.0176,0.0370,0.0671,0.0097,0.0874
kmr_Latn,0.1215,0.0445,0.2461,0.1355,0.1277,0.0163,0.0377,0.0398,0.0069,0.0862
ace_Latn,0.0781,0.0585,0.1873,0.1131,0.1123,0.0402,0.0621,0.0879,0.0224,0.0847
ckb_Arab,0.1620,0.0500,0.2636,0.1282,0.1314,0.0054,0.0065,0.0119,0.0007,0.0844
san_Deva,0.1582,0.0737,0.2376,0.1271,0.1243,0.0003,0.0018,0.0279,0.0010,0.0836
azb_Arab,0.1405,0.0907,0.2072,0.1285,0.1256,0.0023,0.0048,0.0183,0.0010,0.0799
khk_Cyrl,0.1467,0.0485,0.2342,0.1053,0.1116,0.0036,0.0114,0.0222,0.0032,0.0763
ibo_Latn,0.1149,0.0512,0.2157,0.1111,0.1022,0.0121,0.0236,0.0341,0.0120,0.0752
mri_Latn,0.1021,0.0341,0.2145,0.0978,0.0923,0.0205,0.0376,0.0647,0.0115,0.0750
plt_Latn,0.1593,0.0507,0.2032,0.0701,0.0706,0.0135,0.0353,0.0345,0.0131,0.0722
som_Latn,0.1277,0.0430,0.2096,0.0701,0.0743,0.0118,0.0286,0.0391,0.0097,0.0682
bug_Latn,0.0565,0.0526,0.1401,0.0811,0.0851,0.0291,0.0595,0.0734,0.0230,0.0667
twi_Latn,0.0684,0.0335,0.1598,0.0715,0.0684,0.0286,0.0609,0.0624,0.0139,0.0630
xho_Latn,0.1539,0.0563,0.1477,0.0474,0.0483,0.0228,0.0333,0.0338,0.0069,0.0612
nya_Latn,0.1061,0.0482,0.1428,0.0643,0.0677,0.0183,0.0379,0.0425,0.0164,0.0605
zul_Latn,0.1638,0.0504,0.1462,0.0467,0.0456,0.0174,0.0303,0.0329,0.0066,0.0600
sna_Latn,0.1247,0.0524,0.1411,0.0548,0.0589,0.0089,0.0364,0.0416,0.0128,0.0591
nso_Latn,0.0851,0.0410,0.1717,0.0615,0.0545,0.0239,0.0395,0.0432,0.0100,0.0589
kin_Latn,0.0916,0.0336,0.1879,0.0546,0.0601,0.0151,0.0333,0.0380,0.0142,0.0587
sot_Latn,0.1000,0.0408,0.1851,0.0530,0.0485,0.0168,0.0342,0.0373,0.0086,0.0583
smo_Latn,0.0755,0.0244,0.2221,0.0551,0.0568,0.0149,0.0292,0.0369,0.0065,0.0580
lua_Latn,0.0403,0.0353,0.1182,0.0778,0.0759,0.0284,0.0474,0.0686,0.0227,0.0572
lin_Latn,0.0477,0.0388,0.1441,0.0667,0.0702,0.0210,0.0511,0.0584,0.0152,0.0570
sin_Sinh,0.1965,0.0733,0.1056,0.0618,0.0559,0.0020,0.0052,0.0085,0.0006,0.0566
arb_Latn,0.0867,0.0267,0.1539,0.0671,0.0676,0.0054,0.0277,0.0547,0.0058,0.0551
tsn_Latn,0.0755,0.0330,0.1515,0.0534,0.0522,0.0213,0.0391,0.0460,0.0201,0.0547
lug_Latn,0.0478,0.0325,0.1467,0.0639,0.0660,0.0241,0.0409,0.0506,0.0094,0.0535
kam_Latn,0.0377,0.0334,0.1007,0.0708,0.0690,0.0308,0.0547,0.0588,0.0183,0.0527
fuv_Latn,0.0327,0.0364,0.0891,0.0648,0.0654,0.0329,0.0598,0.0654,0.0229,0.0522
grn_Latn,0.0548,0.0356,0.1539,0.0490,0.0493,0.0174,0.0391,0.0520,0.0134,0.0516
uig_Arab,0.0466,0.0199,0.2272,0.0748,0.0716,0.0025,0.0050,0.0078,0.0016,0.0508
kon_Latn,0.0373,0.0341,0.1041,0.0595,0.0661,0.0185,0.0405,0.0545,0.0177,0.0481
luo_Latn,0.0274,0.0305,0.0827,0.0627,0.0633,0.0230,0.0621,0.0579,0.0155,0.0472
wol_Latn,0.0338,0.0282,0.1082,0.0557,0.0557,0.0246,0.0480,0.0526,0.0165,0.0470
ssw_Latn,0.0795,0.0352,0.1163,0.0453,0.0451,0.0160,0.0294,0.0451,0.0106,0.0469
kas_Deva,0.0541,0.0317,0.1156,0.0744,0.0757,0.0044,0.0141,0.0409,0.0052,0.0462
aka_Latn,0.0505,0.0266,0.1188,0.0525,0.0500,0.0121,0.0409,0.0462,0.0103,0.0453
bem_Latn,0.0486,0.0356,0.0946,0.0523,0.0539,0.0186,0.0341,0.0579,0.0086,0.0449
quy_Latn,0.0285,0.0212,0.1420,0.0544,0.0575,0.0166,0.0336,0.0387,0.0090,0.0446
kas_Arab,0.0425,0.0319,0.1526,0.0613,0.0651,0.0014,0.0067,0.0279,0.0013,0.0434
run_Latn,0.0656,0.0279,0.1269,0.0432,0.0435,0.0124,0.0233,0.0329,0.0030,0.0421
tso_Latn,0.0419,0.0305,0.1209,0.0395,0.0366,0.0179,0.0341,0.0389,0.0164,0.0419
fij_Latn,0.0399,0.0228,0.1362,0.0362,0.0366,0.0140,0.0312,0.0389,0.0165,0.0414
ory_Orya,0.0846,0.0061,0.1668,0.0474,0.0486,0.0026,0.0029,0.0057,0.0027,0.0408
tum_Latn,0.0496,0.0297,0.1058,0.0437,0.0474,0.0112,0.0279,0.0304,0.0061,0.0391
kik_Latn,0.0267,0.0203,0.1046,0.0409,0.0410,0.0204,0.0365,0.0442,0.0161,0.0390
khm_Khmr,0.0776,0.0352,0.1014,0.0451,0.0451,0.0022,0.0079,0.0201,0.0065,0.0379
yor_Latn,0.0324,0.0158,0.1114,0.0397,0.0405,0.0182,0.0221,0.0258,0.0143,0.0356
dyu_Latn,0.0150,0.0161,0.0687,0.0455,0.0465,0.0169,0.0359,0.0458,0.0130,0.0337
cjk_Latn,0.0263,0.0244,0.0606,0.0339,0.0394,0.0197,0.0364,0.0412,0.0114,0.0326
taq_Latn,0.0260,0.0249,0.0648,0.0404,0.0426,0.0132,0.0339,0.0432,0.0034,0.0325
mos_Latn,0.0174,0.0168,0.0612,0.0420,0.0446,0.0208,0.0333,0.0453,0.0093,0.0323
mya_Mymr,0.0909,0.0326,0.0857,0.0351,0.0373,0.0005,0.0003,0.0034,0.0007,0.0318
kmb_Latn,0.0241,0.0250,0.0582,0.0372,0.0386,0.0151,0.0314,0.0385,0.0124,0.0312
sag_Latn,0.0232,0.0252,0.0587,0.0392,0.0410,0.0132,0.0309,0.0355,0.0111,0.0309
umb_Latn,0.0208,0.0211,0.0593,0.0379,0.0394,0.0163,0.0298,0.0400,0.0111,0.0306
amh_Ethi,0.1600,0.0378,0.0285,0.0095,0.0099,0.0011,0.0055,0.0096,0.0010,0.0292
ewe_Latn,0.0171,0.0163,0.0553,0.0341,0.0338,0.0118,0.0274,0.0359,0.0087,0.0267
ayr_Latn,0.0152,0.0161,0.0495,0.0306,0.0294,0.0140,0.0285,0.0394,0.0090,0.0257
dik_Latn,0.0245,0.0262,0.0448,0.0228,0.0244,0.0099,0.0252,0.0361,0.0118,0.0251
kac_Latn,0.0107,0.0121,0.0661,0.0277,0.0345,0.0095,0.0214,0.0368,0.0056,0.0249
bam_Latn,0.0190,0.0184,0.0531,0.0281,0.0278,0.0062,0.0226,0.0290,0.0106,0.0239
knc_Latn,0.0210,0.0215,0.0423,0.0232,0.0237,0.0087,0.0264,0.0306,0.0055,0.0225
kab_Latn,0.0141,0.0082,0.0510,0.0195,0.0212,0.0148,0.0176,0.0252,0.0100,0.0202
gaz_Latn,0.0152,0.0095,0.0674,0.0190,0.0203,0.0093,0.0147,0.0187,0.0052,0.0199
lao_Laoo,0.0381,0.0135,0.0370,0.0219,0.0242,0.0017,0.0097,0.0119,0.0099,0.0187
kbp_Latn,0.0105,0.0070,0.0370,0.0170,0.0164,0.0033,0.0126,0.0213,0.0062,0.0146
sat_Olck,0.0596,0.0044,0.0425,0.0102,0.0087,0.0002,0.0005,0.0007,0.0003,0.0141
fon_Latn,0.0105,0.0083,0.0353,0.0135,0.0152,0.0051,0.0135,0.0190,0.0062,0.0141
knc_Arab,0.0026,0.0034,0.0385,0.0184,0.0189,0.0028,0.0091,0.0144,0.0041,0.0125
mni_Beng,0.0090,0.0069,0.0332,0.0132,0.0122,0.0030,0.0080,0.0197,0.0015,0.0118
ace_Arab,0.0084,0.0059,0.0425,0.0200,0.0195,0.0002,0.0005,0.0069,0.0009,0.0116
nus_Latn,0.0067,0.0071,0.0240,0.0132,0.0143,0.0034,0.0123,0.0165,0.0038,0.0113
bjn_Arab,0.0088,0.0066,0.0289,0.0188,0.0173,0.0031,0.0012,0.0101,0.0019,0.0108
shn_Mymr,0.0053,0.0034,0.0317,0.0158,0.0163,0.0009,0.0047,0.0075,0.0056,0.0101
min_Arab,0.0056,0.0036,0.0400,0.0149,0.0129,0.0020,0.0009,0.0046,0.0006,0.0095
bod_Tibt,0.0115,0.0017,0.0300,0.0137,0.0145,0.0003,0.0006,0.0021,0.0004,0.0083
tir_Ethi,0.0265,0.0048,0.0074,0.0047,0.0058,0.0011,0.0052,0.0050,0.0007,0.0068
zgh_Tfng,0.0014,0.0011,0.0047,0.0035,0.0039,0.0005,0.0024,0.0036,0.0006,0.0024
taq_Tfng,0.0008,0.0004,0.0057,0.0030,0.0032,0.0006,0.0024,0.0036,0.0016,0.0024
dzo_Tibt,0.0030,0.0005,0.0096,0.0030,0.0027,0.0003,0.0000,0.0018,0.0003,0.0023
