,gemma2-9B,gemma-7B,llama3.1-70B,llama3.1-8B,llama3-8B,llama2-7B,llama1-7B,mistral-7B,olmo-7B,avg
bos_Latn,0.9142,0.8141,0.9456,0.8767,0.8689,0.1929,0.4073,0.8389,0.2545,0.6792
nno_Latn,0.9151,0.8157,0.9172,0.8416,0.8428,0.2604,0.3616,0.7802,0.3778,0.6792
ukr_Cyrl,0.9151,0.8141,0.9456,0.8767,0.8689,0.2170,0.4156,0.8389,0.1542,0.6718
zsm_Latn,0.9178,0.8258,0.9267,0.8767,0.8689,0.1736,0.2452,0.8053,0.3624,0.6669
hrv_Latn,0.9105,0.8132,0.8983,0.8592,0.8602,0.1832,0.4073,0.8305,0.2313,0.6660
slv_Latn,0.9105,0.7898,0.9267,0.8592,0.8602,0.2025,0.3990,0.8389,0.1928,0.6644
afr_Latn,0.9124,0.8132,0.9267,0.8679,0.8689,0.1977,0.3699,0.7886,0.2082,0.6615
slk_Latn,0.9133,0.8007,0.9267,0.8592,0.8515,0.1206,0.3824,0.8221,0.2468,0.6581
bul_Cyrl,0.9115,0.8040,0.8983,0.8592,0.8602,0.1157,0.4156,0.8389,0.1388,0.6491
jpn_Jpan,0.9015,0.7998,0.9267,0.8329,0.8168,0.2941,0.2494,0.7634,0.2390,0.6471
hun_Latn,0.9133,0.7764,0.9172,0.8416,0.8341,0.1302,0.3948,0.8053,0.1774,0.6434
vec_Latn,0.8725,0.7371,0.9267,0.8416,0.8255,0.1639,0.3491,0.7550,0.2776,0.6388
srp_Cyrl,0.9105,0.7923,0.8983,0.8592,0.8602,0.1013,0.4156,0.8389,0.0617,0.6376
tgl_Latn,0.9060,0.7404,0.9361,0.8241,0.8168,0.1639,0.1995,0.7718,0.3624,0.6357
fin_Latn,0.9087,0.7948,0.8983,0.8504,0.8515,0.1350,0.2120,0.7382,0.3316,0.6356
mkd_Cyrl,0.9015,0.7722,0.9361,0.8679,0.8602,0.0723,0.3782,0.7970,0.1080,0.6326
vie_Latn,0.9142,0.8141,0.9456,0.8767,0.8689,0.2218,0.0831,0.7886,0.1619,0.6305
epo_Latn,0.8725,0.7605,0.9456,0.8592,0.8515,0.1398,0.2577,0.6711,0.1080,0.6073
kor_Hang,0.8770,0.7371,0.9078,0.8416,0.8255,0.2218,0.1455,0.7131,0.1542,0.6026
arb_Arab,0.9133,0.8032,0.9361,0.8592,0.8515,0.0530,0.1704,0.6963,0.1002,0.5981
ars_Arab,0.9115,0.8032,0.9267,0.8592,0.8515,0.0386,0.1662,0.6879,0.0848,0.5922
lim_Latn,0.7600,0.6534,0.8889,0.8329,0.8255,0.2073,0.2452,0.5872,0.2082,0.5787
acq_Arab,0.9051,0.7756,0.9172,0.8329,0.8168,0.0434,0.1288,0.6711,0.0925,0.5759
acm_Arab,0.8951,0.7555,0.8983,0.8592,0.8168,0.0386,0.1413,0.6711,0.0925,0.5743
fur_Latn,0.7310,0.6007,0.9078,0.8066,0.7733,0.1639,0.2701,0.5872,0.2622,0.5670
pes_Arab,0.9105,0.7898,0.8794,0.8504,0.8515,0.0482,0.0790,0.5872,0.0694,0.5628
arz_Arab,0.8788,0.7388,0.8983,0.8416,0.8255,0.0289,0.0956,0.6292,0.0925,0.5588
ajp_Arab,0.8842,0.7647,0.8605,0.8504,0.8341,0.0289,0.1164,0.5956,0.0925,0.5586
lit_Latn,0.9015,0.7572,0.9172,0.7803,0.7994,0.1013,0.0956,0.5621,0.1080,0.5580
apc_Arab,0.8852,0.7630,0.8605,0.8153,0.8255,0.0338,0.1081,0.6376,0.0925,0.5579
ell_Grek,0.9024,0.7756,0.8700,0.8679,0.8602,0.0193,0.0873,0.5788,0.0463,0.5564
tur_Latn,0.8933,0.7823,0.8983,0.8241,0.8081,0.0434,0.0914,0.6124,0.0386,0.5547
est_Latn,0.9015,0.7681,0.8983,0.8241,0.8255,0.1157,0.0873,0.4530,0.1002,0.5526
pap_Latn,0.7926,0.5990,0.8889,0.7452,0.7299,0.1832,0.2161,0.5621,0.2313,0.5498
lmo_Latn,0.7283,0.5639,0.8700,0.7540,0.7386,0.1688,0.2577,0.6040,0.2622,0.5497
szl_Latn,0.7700,0.5924,0.8700,0.7277,0.7386,0.1061,0.2618,0.6376,0.2082,0.5458
prs_Arab,0.9024,0.7781,0.9172,0.8416,0.8428,0.0145,0.0623,0.4614,0.0771,0.5442
scn_Latn,0.7736,0.5873,0.8794,0.7890,0.7733,0.1495,0.2161,0.5705,0.1542,0.5437
heb_Hebr,0.9124,0.8141,0.8889,0.8329,0.8255,0.0193,0.0540,0.4698,0.0617,0.5420
lvs_Latn,0.9033,0.7522,0.8983,0.8066,0.7907,0.0530,0.0499,0.5453,0.0771,0.5418
als_Latn,0.8715,0.6727,0.9267,0.7890,0.7994,0.0916,0.0790,0.5285,0.1002,0.5399
lij_Latn,0.7364,0.5806,0.8794,0.7189,0.7038,0.1639,0.2452,0.5285,0.3007,0.5397
ceb_Latn,0.8271,0.5865,0.8889,0.7277,0.7212,0.1591,0.1538,0.4950,0.2390,0.5331
srd_Latn,0.7255,0.5949,0.8605,0.7540,0.7212,0.1591,0.2286,0.5453,0.2082,0.5330
hin_Deva,0.8988,0.7396,0.9078,0.7978,0.7907,0.0338,0.0540,0.4446,0.0617,0.5254
ltz_Latn,0.7881,0.5949,0.8416,0.7540,0.7386,0.1495,0.1787,0.4362,0.1774,0.5177
tha_Thai,0.8960,0.7555,0.8700,0.8329,0.8341,0.0193,0.0249,0.3188,0.1002,0.5169
aeb_Arab,0.8180,0.6693,0.8605,0.7803,0.7473,0.0386,0.1039,0.5453,0.0848,0.5164
bel_Cyrl,0.8779,0.6518,0.8794,0.7890,0.7907,0.0241,0.0873,0.5033,0.0154,0.5132
isl_Latn,0.8335,0.6200,0.8794,0.7715,0.7820,0.0916,0.0956,0.4782,0.0617,0.5126
swh_Latn,0.9006,0.7430,0.8605,0.7277,0.7994,0.1109,0.0914,0.2684,0.0848,0.5096
mlt_Latn,0.8815,0.6317,0.8700,0.7364,0.7386,0.1206,0.1122,0.3775,0.1157,0.5093
war_Latn,0.7600,0.5472,0.8794,0.6488,0.6082,0.2556,0.1953,0.3523,0.2005,0.4941
cym_Latn,0.8652,0.5907,0.8794,0.7540,0.7646,0.1109,0.0997,0.2768,0.0771,0.4909
fao_Latn,0.7110,0.5321,0.8605,0.7101,0.6864,0.1157,0.1330,0.5285,0.0848,0.4847
urd_Arab,0.8307,0.6585,0.8794,0.7627,0.7299,0.0193,0.0208,0.3104,0.0308,0.4714
jav_Latn,0.7482,0.5447,0.8416,0.6926,0.6691,0.1639,0.1205,0.2852,0.1619,0.4697
eus_Latn,0.8217,0.6618,0.8416,0.7364,0.7125,0.1013,0.0831,0.1846,0.0540,0.4663
sun_Latn,0.6902,0.4786,0.8605,0.6751,0.6430,0.1447,0.1247,0.3439,0.2313,0.4658
kea_Latn,0.6430,0.5070,0.7754,0.6049,0.6430,0.1591,0.1870,0.4530,0.1774,0.4611
ary_Arab,0.7092,0.5974,0.8038,0.6751,0.6777,0.0289,0.0914,0.4446,0.1002,0.4587
hat_Latn,0.7400,0.4719,0.8605,0.6488,0.6082,0.1543,0.1164,0.3607,0.0925,0.4504
mag_Deva,0.7527,0.5229,0.8794,0.7452,0.7038,0.0193,0.0499,0.2852,0.0694,0.4475
min_Latn,0.5605,0.4535,0.8132,0.6838,0.6777,0.1639,0.1247,0.3356,0.1696,0.4425
ban_Latn,0.4761,0.3188,0.8227,0.6225,0.6256,0.1736,0.1496,0.4194,0.3007,0.4343
bjn_Latn,0.5977,0.5087,0.7754,0.6225,0.5995,0.1350,0.1164,0.3104,0.2082,0.4304
azj_Latn,0.7527,0.5279,0.8605,0.6751,0.6604,0.0145,0.0291,0.2936,0.0154,0.4255
npi_Deva,0.8072,0.5898,0.8227,0.6225,0.6430,0.0193,0.0249,0.2013,0.0540,0.4205
mar_Deva,0.8153,0.5815,0.8700,0.6838,0.6343,0.0193,0.0125,0.1174,0.0308,0.4183
awa_Deva,0.7255,0.5313,0.8321,0.6488,0.6517,0.0193,0.0457,0.2097,0.0848,0.4165
ben_Beng,0.8189,0.5756,0.8227,0.5962,0.5995,0.0096,0.0083,0.2349,0.0540,0.4133
uzn_Latn,0.7029,0.4710,0.8416,0.6049,0.6169,0.0386,0.0457,0.2265,0.0463,0.3994
bho_Deva,0.5088,0.4577,0.8889,0.6751,0.6517,0.0241,0.0332,0.2601,0.0848,0.3983
gle_Latn,0.6820,0.3079,0.8227,0.6400,0.6430,0.0916,0.0831,0.2181,0.0925,0.3979
hye_Armn,0.8507,0.5898,0.7943,0.6049,0.5822,0.0096,0.0208,0.1007,0.0077,0.3956
hne_Deva,0.6747,0.4434,0.8038,0.6488,0.6343,0.0096,0.0249,0.2433,0.0771,0.3956
kaz_Cyrl,0.6221,0.4660,0.8700,0.6137,0.5995,0.0193,0.0582,0.2684,0.0308,0.3942
tpi_Latn,0.6884,0.3790,0.6903,0.4559,0.4518,0.1929,0.1538,0.3272,0.1542,0.3882
hau_Latn,0.6793,0.4116,0.7659,0.5786,0.5387,0.1206,0.1122,0.1678,0.0617,0.3818
mai_Deva,0.6076,0.4250,0.8605,0.6137,0.5909,0.0193,0.0291,0.1594,0.0771,0.3758
crh_Latn,0.5759,0.4192,0.7659,0.5611,0.5127,0.0338,0.0707,0.3523,0.0463,0.3709
ilo_Latn,0.6122,0.3163,0.7376,0.4734,0.4605,0.1688,0.1455,0.2433,0.1311,0.3654
tat_Cyrl,0.5641,0.3815,0.8321,0.5786,0.5474,0.0289,0.0416,0.2097,0.0231,0.3563
kat_Geor,0.7283,0.4535,0.7187,0.5260,0.5040,0.0096,0.0374,0.1846,0.0077,0.3522
ydd_Hebr,0.7419,0.4535,0.7848,0.4822,0.4692,0.0289,0.0249,0.0503,0.0154,0.3390
kir_Cyrl,0.5305,0.3330,0.8132,0.5786,0.5735,0.0096,0.0374,0.1342,0.0231,0.3370
pag_Latn,0.3301,0.2309,0.6336,0.3507,0.3910,0.2507,0.2078,0.3607,0.2390,0.3327
pan_Guru,0.7818,0.4970,0.7470,0.4734,0.3997,0.0096,0.0042,0.0252,0.0540,0.3324
bak_Cyrl,0.5641,0.3631,0.8227,0.5085,0.5127,0.0145,0.0416,0.1258,0.0231,0.3307
guj_Gujr,0.7908,0.5229,0.6714,0.4208,0.3910,0.0193,0.0083,0.0419,0.0694,0.3262
tam_Taml,0.7772,0.5422,0.7187,0.3770,0.3823,0.0193,0.0125,0.0755,0.0308,0.3262
pbt_Arab,0.4988,0.2334,0.8227,0.5699,0.5735,0.0241,0.0291,0.1007,0.0694,0.3246
tgk_Cyrl,0.6194,0.2736,0.7754,0.5085,0.5213,0.0241,0.0291,0.1007,0.0540,0.3229
tel_Telu,0.7673,0.5154,0.6714,0.3770,0.4258,0.0096,0.0083,0.0503,0.0386,0.3182
snd_Arab,0.5940,0.2979,0.7848,0.5260,0.4953,0.0193,0.0125,0.0587,0.0386,0.3141
kan_Knda,0.7400,0.4677,0.6619,0.4208,0.4084,0.0096,0.0083,0.0587,0.0463,0.3135
mal_Mlym,0.7618,0.5020,0.6808,0.3244,0.3041,0.0096,0.0125,0.0252,0.0308,0.2946
ckb_Arab,0.5133,0.2050,0.7848,0.5436,0.5040,0.0145,0.0125,0.0503,0.0154,0.2937
gla_Latn,0.4580,0.1447,0.7092,0.4647,0.4518,0.0772,0.0665,0.1342,0.0694,0.2862
asm_Beng,0.6294,0.3464,0.6997,0.3857,0.3649,0.0048,0.0125,0.0839,0.0386,0.2851
tuk_Latn,0.4879,0.3146,0.6336,0.4296,0.4084,0.0482,0.0416,0.1426,0.0231,0.2811
san_Deva,0.4770,0.2619,0.7092,0.4647,0.4518,0.0048,0.0083,0.1174,0.0154,0.2790
kmr_Latn,0.3836,0.1481,0.6903,0.4822,0.4953,0.0530,0.0623,0.1258,0.0463,0.2763
lus_Latn,0.5269,0.0862,0.5579,0.3419,0.3302,0.1350,0.0997,0.2433,0.1080,0.2699
khk_Cyrl,0.4417,0.1832,0.7281,0.4208,0.4258,0.0145,0.0208,0.0839,0.0308,0.2611
ltg_Latn,0.3129,0.2267,0.6146,0.3770,0.3476,0.0820,0.0623,0.2181,0.0617,0.2559
azb_Arab,0.3746,0.2828,0.5957,0.4384,0.4431,0.0048,0.0125,0.1091,0.0231,0.2538
plt_Latn,0.5169,0.1749,0.5863,0.2542,0.2520,0.1398,0.1164,0.1762,0.0540,0.2523
ibo_Latn,0.3510,0.1481,0.6430,0.3770,0.3736,0.0868,0.0831,0.1174,0.0694,0.2499
mri_Latn,0.3528,0.1104,0.5957,0.3770,0.3476,0.1157,0.0956,0.1846,0.0694,0.2499
som_Latn,0.4190,0.1406,0.5957,0.2367,0.2433,0.1109,0.0790,0.1762,0.0925,0.2327
ace_Latn,0.2213,0.1330,0.4917,0.3156,0.3128,0.1398,0.1039,0.2097,0.1465,0.2305
xho_Latn,0.4943,0.1899,0.4728,0.2016,0.1998,0.1206,0.0956,0.1342,0.0540,0.2181
nso_Latn,0.2730,0.1079,0.4823,0.2630,0.2346,0.1736,0.1330,0.1929,0.0694,0.2144
sot_Latn,0.3410,0.1222,0.5295,0.2192,0.1998,0.1350,0.0997,0.1762,0.0540,0.2085
zul_Latn,0.5523,0.1882,0.4444,0.1929,0.1738,0.1061,0.0623,0.1007,0.0540,0.2083
kin_Latn,0.3736,0.1037,0.5295,0.2016,0.2346,0.1109,0.0914,0.1510,0.0617,0.2065
sin_Sinh,0.5578,0.2719,0.4917,0.2630,0.1825,0.0145,0.0083,0.0252,0.0154,0.2034
smo_Latn,0.2793,0.0853,0.6619,0.2016,0.1998,0.1013,0.0831,0.1342,0.0617,0.2009
nya_Latn,0.3600,0.1330,0.4066,0.1929,0.1912,0.1302,0.0956,0.1678,0.0617,0.1932
twi_Latn,0.2258,0.0770,0.4633,0.2192,0.2172,0.1447,0.1288,0.1929,0.0694,0.1932
sna_Latn,0.4136,0.1673,0.3972,0.1929,0.1998,0.1013,0.0790,0.1174,0.0694,0.1931
uig_Arab,0.2113,0.0878,0.7092,0.2893,0.2867,0.0048,0.0083,0.0336,0.0154,0.1829
bug_Latn,0.1442,0.1213,0.3499,0.2192,0.2172,0.1350,0.1122,0.2013,0.1157,0.1796
luo_Latn,0.0653,0.0745,0.3972,0.2542,0.2433,0.1543,0.1247,0.2097,0.0925,0.1795
tsn_Latn,0.2449,0.1037,0.4161,0.1753,0.1825,0.1157,0.1081,0.2013,0.0617,0.1788
arb_Latn,0.2857,0.0728,0.4633,0.2367,0.1998,0.0482,0.0499,0.1678,0.0848,0.1788
khm_Khmr,0.3428,0.1456,0.5863,0.1490,0.1564,0.0096,0.0208,0.0923,0.0617,0.1738
lua_Latn,0.0862,0.0795,0.3310,0.2016,0.2085,0.1447,0.1330,0.2433,0.1157,0.1715
lug_Latn,0.1687,0.0703,0.4066,0.1841,0.1912,0.1398,0.0914,0.1929,0.0617,0.1674
grn_Latn,0.1705,0.0878,0.4444,0.1578,0.1738,0.1206,0.0873,0.1342,0.1002,0.1641
ssw_Latn,0.2739,0.1046,0.3688,0.1666,0.1738,0.1061,0.0831,0.1426,0.0463,0.1629
lin_Latn,0.1097,0.0820,0.4350,0.1578,0.1825,0.1157,0.1081,0.1594,0.0848,0.1594
ory_Orya,0.2839,0.0268,0.6619,0.1753,0.1912,0.0096,0.0083,0.0336,0.0308,0.1579
fij_Latn,0.1315,0.0636,0.3782,0.1753,0.1564,0.1398,0.1122,0.1510,0.0771,0.1539
fuv_Latn,0.0716,0.0820,0.3026,0.2016,0.1998,0.1254,0.1039,0.1762,0.1002,0.1515
kas_Arab,0.1623,0.0962,0.5012,0.2016,0.2085,0.0241,0.0208,0.1007,0.0463,0.1513
quy_Latn,0.1025,0.0561,0.4161,0.2104,0.2172,0.0964,0.0623,0.1258,0.0463,0.1481
aka_Latn,0.1723,0.0602,0.3688,0.1403,0.1651,0.1061,0.0831,0.1174,0.1002,0.1460
mya_Mymr,0.3646,0.1330,0.4633,0.1403,0.1564,0.0048,0.0042,0.0168,0.0231,0.1452
run_Latn,0.2530,0.0736,0.3688,0.1578,0.1651,0.0772,0.0623,0.1007,0.0386,0.1441
bem_Latn,0.1424,0.0761,0.2931,0.1578,0.1564,0.1302,0.1081,0.1510,0.0617,0.1419
kas_Deva,0.1442,0.0929,0.3688,0.2016,0.2085,0.0241,0.0291,0.1091,0.0771,0.1395
wol_Latn,0.0889,0.0669,0.3026,0.1841,0.1564,0.1157,0.0997,0.1678,0.0694,0.1391
kam_Latn,0.0898,0.0786,0.2648,0.1753,0.1564,0.1254,0.0997,0.1510,0.0848,0.1362
tso_Latn,0.1397,0.0602,0.3499,0.1403,0.1303,0.1061,0.0831,0.1342,0.0617,0.1339
kon_Latn,0.0744,0.0761,0.2742,0.1490,0.1738,0.0916,0.0707,0.1342,0.0925,0.1263
tum_Latn,0.1533,0.0686,0.3215,0.1140,0.1303,0.0916,0.0831,0.1091,0.0540,0.1251
kik_Latn,0.0735,0.0427,0.3215,0.1227,0.1303,0.1013,0.0873,0.1258,0.1157,0.1245
taq_Latn,0.0626,0.0569,0.2837,0.1403,0.1216,0.1109,0.0831,0.1426,0.0540,0.1173
mos_Latn,0.0444,0.0435,0.2459,0.1578,0.1390,0.1061,0.0873,0.1510,0.0694,0.1160
yor_Latn,0.1306,0.0410,0.3026,0.1403,0.1390,0.0772,0.0623,0.1007,0.0386,0.1147
amh_Ethi,0.4779,0.1565,0.2364,0.0351,0.0348,0.0145,0.0166,0.0336,0.0231,0.1143
sag_Latn,0.0490,0.0653,0.2175,0.1666,0.1651,0.0723,0.0707,0.0923,0.0617,0.1067
cjk_Latn,0.0562,0.0569,0.2080,0.1315,0.1216,0.0964,0.0831,0.1258,0.0694,0.1055
umb_Latn,0.0472,0.0477,0.1986,0.1490,0.1390,0.0964,0.0790,0.1091,0.0540,0.1022
dyu_Latn,0.0372,0.0427,0.2175,0.1315,0.1216,0.0627,0.0665,0.1007,0.0771,0.0953
kac_Latn,0.0236,0.0318,0.2175,0.1227,0.1390,0.0627,0.0623,0.1174,0.0771,0.0949
kmb_Latn,0.0544,0.0552,0.1986,0.1140,0.1043,0.1013,0.0748,0.0923,0.0540,0.0943
bam_Latn,0.0490,0.0469,0.1797,0.1052,0.0869,0.0820,0.0790,0.1174,0.0386,0.0872
ayr_Latn,0.0381,0.0435,0.1986,0.1052,0.1043,0.0627,0.0499,0.1007,0.0617,0.0850
lao_Laoo,0.1714,0.0402,0.2175,0.0701,0.0869,0.0193,0.0208,0.0419,0.0925,0.0845
dik_Latn,0.0508,0.0552,0.1797,0.0614,0.0695,0.0820,0.0707,0.1007,0.0540,0.0804
ewe_Latn,0.0408,0.0326,0.1797,0.0789,0.0782,0.0916,0.0748,0.0839,0.0386,0.0777
knc_Latn,0.0526,0.0561,0.1513,0.0789,0.0782,0.0675,0.0582,0.0839,0.0540,0.0756
kab_Latn,0.0444,0.0218,0.1702,0.0877,0.0782,0.0627,0.0582,0.1091,0.0386,0.0745
sat_Olck,0.1950,0.0209,0.3215,0.0526,0.0521,0.0048,0.0042,0.0084,0.0077,0.0741
gaz_Latn,0.0508,0.0259,0.1986,0.0614,0.0608,0.0482,0.0416,0.0755,0.0308,0.0660
bod_Tibt,0.0671,0.0075,0.2175,0.0789,0.0782,0.0096,0.0083,0.0168,0.0154,0.0555
fon_Latn,0.0254,0.0184,0.1418,0.0614,0.0608,0.0338,0.0374,0.0503,0.0694,0.0554
shn_Mymr,0.0200,0.0100,0.2080,0.0614,0.0608,0.0145,0.0166,0.0336,0.0694,0.0549
kbp_Latn,0.0317,0.0151,0.1418,0.0526,0.0434,0.0338,0.0249,0.0755,0.0540,0.0525
mni_Beng,0.0317,0.0201,0.1229,0.0526,0.0608,0.0145,0.0166,0.0755,0.0154,0.0456
ace_Arab,0.0281,0.0184,0.1513,0.0701,0.0695,0.0048,0.0042,0.0336,0.0077,0.0431
knc_Arab,0.0082,0.0092,0.1324,0.0438,0.0434,0.0193,0.0208,0.0503,0.0540,0.0424
bjn_Arab,0.0272,0.0226,0.1135,0.0526,0.0782,0.0096,0.0083,0.0503,0.0077,0.0411
nus_Latn,0.0154,0.0159,0.0662,0.0351,0.0348,0.0289,0.0249,0.0419,0.0463,0.0344
min_Arab,0.0181,0.0125,0.1324,0.0526,0.0434,0.0096,0.0042,0.0252,0.0077,0.0340
tir_Ethi,0.1016,0.0184,0.0473,0.0175,0.0174,0.0145,0.0125,0.0168,0.0231,0.0299
dzo_Tibt,0.0136,0.0017,0.0756,0.0263,0.0348,0.0048,0.0000,0.0084,0.0077,0.0192
taq_Tfng,0.0027,0.0017,0.0378,0.0088,0.0087,0.0048,0.0042,0.0084,0.0308,0.0120
zgh_Tfng,0.0045,0.0033,0.0189,0.0088,0.0087,0.0048,0.0042,0.0084,0.0077,0.0077
