code,Qwen/Qwen3-0.6B_max,Qwen/Qwen3-0.6B_mean,avg
aeb_Arab,0.3192,0.079,0.3192
awa_Deva,0.0168,0.0039,0.0168
guj_Gujr,0.0049,0.0012,0.0049
ary_Arab,0.2115,0.0561,0.2115
eus_Latn,0.0227,0.0085,0.0227
mya_Mymr,0.001,0.0002,0.001
azj_Latn,0.0138,0.0057,0.0138
ceb_Latn,0.0939,0.0404,0.0939
deu_Latn,0.8883,0.3128,0.8883
tur_Latn,0.2401,0.0652,0.2401
bjn_Arab,0.003,0.0013,0.003
smo_Latn,0.0484,0.0128,0.0484
jpn_Jpan,0.4447,0.1573,0.4447
mni_Beng,0.001,0.0004,0.001
wol_Latn,0.0524,0.0125,0.0524
arb_Latn,0.0237,0.0032,0.0237
lua_Latn,0.0514,0.0124,0.0514
nya_Latn,0.0524,0.0109,0.0524
ydd_Hebr,0.0049,0.0019,0.0049
ace_Arab,0.001,0.0002,0.001
mag_Deva,0.0109,0.003,0.0109
fur_Latn,0.1443,0.0599,0.1443
asm_Beng,0.003,0.0006,0.003
est_Latn,0.0563,0.0181,0.0563
grn_Latn,0.0405,0.0147,0.0405
zsm_Latn,0.7757,0.24,0.7757
tum_Latn,0.0356,0.0067,0.0356
lao_Laoo,0.0069,0.0037,0.0069
bho_Deva,0.0089,0.0027,0.0089
ewe_Latn,0.0366,0.0091,0.0366
fij_Latn,0.0375,0.0109,0.0375
als_Latn,0.0573,0.0171,0.0573
kin_Latn,0.0395,0.0089,0.0395
tgk_Cyrl,0.0099,0.0032,0.0099
hne_Deva,0.0089,0.0021,0.0089
zho_Hant,0.8399,0.5624,0.8399
rus_Cyrl,0.8142,0.2732,0.8142
quy_Latn,0.0208,0.0067,0.0208
ltz_Latn,0.1028,0.0392,0.1028
sna_Latn,0.0464,0.0104,0.0464
nob_Latn,0.7253,0.2168,0.7253
hun_Latn,0.2154,0.044,0.2154
lmo_Latn,0.1423,0.0514,0.1423
kor_Hang,0.3073,0.0956,0.3073
kan_Knda,0.002,0.0001,0.002
ibo_Latn,0.0395,0.0072,0.0395
tuk_Latn,0.0099,0.0049,0.0099
fuv_Latn,0.0682,0.0165,0.0682
mal_Mlym,0.003,0.0007,0.003
plt_Latn,0.0415,0.0073,0.0415
bul_Cyrl,0.6344,0.1171,0.6344
tat_Cyrl,0.0099,0.0043,0.0099
lvs_Latn,0.0988,0.0211,0.0988
dzo_Tibt,0.0,0.0,0.0
fin_Latn,0.1196,0.0314,0.1196
tzm_Tfng,0.002,0.0005,0.002
isl_Latn,0.0356,0.014,0.0356
ace_Latn,0.0524,0.0233,0.0524
snd_Arab,0.004,0.001,0.004
lug_Latn,0.0524,0.0108,0.0524
ukr_Cyrl,0.4743,0.078,0.4743
dik_Latn,0.0692,0.0127,0.0692
slk_Latn,0.501,0.1043,0.501
dyu_Latn,0.0257,0.0058,0.0257
kik_Latn,0.0415,0.0109,0.0415
szl_Latn,0.1334,0.039,0.1334
cjk_Latn,0.0287,0.0095,0.0287
taq_Tfng,0.003,0.0003,0.003
arb_Arab,0.6057,0.1547,0.6057
ilo_Latn,0.082,0.0232,0.082
acm_Arab,0.4634,0.1061,0.4634
ast_Latn,0.6285,0.2199,0.6285
kea_Latn,0.1117,0.0519,0.1117
bos_Latn,0.5138,0.115,0.5138
mos_Latn,0.0366,0.0059,0.0366
cym_Latn,0.0494,0.011,0.0494
knc_Latn,0.0474,0.008,0.0474
san_Deva,0.002,0.001,0.002
tpi_Latn,0.0998,0.0401,0.0998
amh_Ethi,0.003,0.0009,0.003
khk_Cyrl,0.003,0.0009,0.003
tir_Ethi,0.001,0.0005,0.001
bem_Latn,0.0504,0.0106,0.0504
hye_Armn,0.0069,0.0024,0.0069
khm_Khmr,0.003,0.0018,0.003
pol_Latn,0.6215,0.1593,0.6215
ind_Latn,0.8755,0.3035,0.8755
min_Arab,0.002,0.0004,0.002
ory_Orya,0.001,0.0004,0.001
uzn_Latn,0.0128,0.0053,0.0128
uig_Arab,0.003,0.0012,0.003
bak_Cyrl,0.0109,0.0032,0.0109
ron_Latn,0.7569,0.2044,0.7569
min_Latn,0.0978,0.0474,0.0978
ita_Latn,0.9111,0.3619,0.9111
kas_Arab,0.004,0.0021,0.004
pag_Latn,0.163,0.0596,0.163
ces_Latn,0.5791,0.1299,0.5791
pbt_Arab,0.0109,0.0024,0.0109
pan_Guru,0.003,0.0005,0.003
run_Latn,0.0366,0.0062,0.0366
mai_Deva,0.0109,0.0031,0.0109
knc_Arab,0.004,0.0011,0.004
crh_Latn,0.0296,0.0134,0.0296
luo_Latn,0.0731,0.0139,0.0731
tel_Telu,0.003,0.001,0.003
war_Latn,0.1057,0.0433,0.1057
sot_Latn,0.0662,0.0133,0.0662
epo_Latn,0.2767,0.0771,0.2767
lit_Latn,0.1206,0.0304,0.1206
kir_Cyrl,0.0099,0.0031,0.0099
kmr_Latn,0.0267,0.0059,0.0267
apc_Arab,0.3686,0.0859,0.3686
twi_Latn,0.0711,0.016,0.0711
hin_Deva,0.0395,0.0067,0.0395
pes_Arab,0.1354,0.0266,0.1354
