code,Qwen/Qwen3-Embedding-8B_max,Qwen/Qwen3-Embedding-8B_mean,avg
khm_Khmr,0.8192,0.2486,0.8192
pol_Latn,0.9941,0.6538,0.9941
min_Arab,0.1126,0.0397,0.1126
ind_Latn,0.999,0.7161,0.999
ory_Orya,0.8794,0.3006,0.8794
uzn_Latn,0.9259,0.4324,0.9259
uig_Arab,0.7125,0.2349,0.7125
bak_Cyrl,0.8172,0.3252,0.8172
min_Latn,0.7668,0.402,0.7668
ron_Latn,0.999,0.6769,0.999
ita_Latn,1.0,0.7483,1.0
kas_Arab,0.6433,0.2296,0.6433
pag_Latn,0.6294,0.2873,0.6294
ces_Latn,0.9941,0.64,0.9941
pan_Guru,0.9348,0.3773,0.9348
pbt_Arab,0.8449,0.3584,0.8449
run_Latn,0.252,0.0948,0.252
mai_Deva,0.9516,0.4292,0.9516
knc_Arab,0.0731,0.0186,0.0731
crh_Latn,0.8488,0.4016,0.8488
luo_Latn,0.2866,0.1201,0.2866
tel_Telu,0.8567,0.3184,0.8567
war_Latn,0.9111,0.491,0.9111
lit_Latn,0.9763,0.5596,0.9763
epo_Latn,0.9951,0.6457,0.9951
sot_Latn,0.3063,0.1273,0.3063
kmr_Latn,0.6166,0.2626,0.6166
kir_Cyrl,0.8172,0.3195,0.8172
apc_Arab,0.9763,0.631,0.9763
twi_Latn,0.3458,0.1497,0.3458
pes_Arab,0.9664,0.5615,0.9664
hin_Deva,0.9763,0.4975,0.9763
arb_Latn,0.584,0.2435,0.584
lua_Latn,0.3557,0.1437,0.3557
nya_Latn,0.3182,0.1258,0.3182
ydd_Hebr,0.8933,0.3636,0.8933
ace_Arab,0.166,0.0599,0.166
mag_Deva,0.9605,0.4651,0.9605
fur_Latn,0.9051,0.486,0.9051
asm_Beng,0.8528,0.3435,0.8528
est_Latn,0.9654,0.5394,0.9654
grn_Latn,0.5484,0.2204,0.5484
zsm_Latn,0.9931,0.6705,0.9931
tum_Latn,0.2747,0.1022,0.2747
lao_Laoo,0.8577,0.2625,0.8577
bho_Deva,0.918,0.4163,0.918
als_Latn,0.9713,0.5177,0.9713
fij_Latn,0.3518,0.1498,0.3518
ewe_Latn,0.2302,0.085,0.2302
kin_Latn,0.25,0.0975,0.25
tgk_Cyrl,0.8824,0.3691,0.8824
hne_Deva,0.9209,0.4357,0.9209
zho_Hant,0.998,0.802,0.998
rus_Cyrl,0.997,0.7067,0.997
quy_Latn,0.4012,0.1471,0.4012
ltz_Latn,0.9437,0.4991,0.9437
sna_Latn,0.2856,0.105,0.2856
nob_Latn,0.9921,0.6822,0.9921
lmo_Latn,0.9279,0.4818,0.9279
hun_Latn,0.9941,0.5885,0.9941
kor_Hang,0.9832,0.6509,0.9832
kan_Knda,0.8953,0.3306,0.8953
ibo_Latn,0.2569,0.1053,0.2569
tuk_Latn,0.664,0.2466,0.664
mal_Mlym,0.9071,0.3869,0.9071
fuv_Latn,0.2885,0.1242,0.2885
plt_Latn,0.3182,0.1338,0.3182
bul_Cyrl,0.9891,0.6334,0.9891
tat_Cyrl,0.8626,0.3574,0.8626
lvs_Latn,0.9625,0.5514,0.9625
dzo_Tibt,0.0277,0.0056,0.0277
fin_Latn,0.9545,0.5435,0.9545
tzm_Tfng,0.0119,0.0044,0.0119
ace_Latn,0.5049,0.2219,0.5049
isl_Latn,0.8953,0.404,0.8953
snd_Arab,0.9269,0.4424,0.9269
lug_Latn,0.2441,0.1001,0.2441
ukr_Cyrl,0.9901,0.6133,0.9901
dik_Latn,0.2905,0.1188,0.2905
dyu_Latn,0.25,0.0972,0.25
slk_Latn,0.9862,0.6224,0.9862
kik_Latn,0.3202,0.1092,0.3202
cjk_Latn,0.2826,0.1121,0.2826
szl_Latn,0.919,0.4797,0.919
taq_Tfng,0.0237,0.0065,0.0237
arb_Arab,0.997,0.6803,0.997
