code,avg,avg_mean,min,max,num_models
zul_Latn,0.2833,0.1238,0.0247,0.998,14
ckb_Arab,0.2839,0.0926,0.002,0.9476,14
azb_Arab,0.2872,0.1001,0.003,0.8666,14
sot_Latn,0.2873,0.1109,0.0336,0.9862,14
xho_Latn,0.2931,0.1282,0.0346,0.9872,14
plt_Latn,0.2942,0.122,0.0316,0.996,14
ace_Latn,0.2944,0.1156,0.0524,0.8785,14
som_Latn,0.3008,0.1368,0.0287,0.9842,14
amh_Ethi,0.3033,0.1406,0.003,1.0,14
mri_Latn,0.3062,0.1171,0.0188,0.9625,14
mya_Mymr,0.3068,0.1032,0.001,0.996,14
ltg_Latn,0.3311,0.1201,0.0267,0.9091,14
gla_Latn,0.3378,0.1407,0.0267,0.997,14
tuk_Latn,0.3445,0.141,0.0099,0.9881,14
hau_Latn,0.3618,0.1668,0.0395,0.9931,14
ilo_Latn,0.3623,0.1406,0.0613,0.9585,14
san_Deva,0.3672,0.1209,0.002,0.9555,14
khm_Khmr,0.3694,0.1433,0.003,0.9783,14
uig_Arab,0.3694,0.1587,0.002,0.997,14
bak_Cyrl,0.3725,0.1305,0.0089,0.9832,14
sin_Sinh,0.376,0.1805,0.001,1.0,14
tpi_Latn,0.3794,0.1507,0.0642,0.9654,14
pag_Latn,0.3893,0.1874,0.1196,0.9249,14
kmr_Latn,0.39,0.1755,0.0267,0.9921,14
lao_Laoo,0.3995,0.1701,0.0069,0.9773,14
asm_Beng,0.3996,0.1429,0.003,0.9931,14
tgk_Cyrl,0.4035,0.1765,0.003,0.996,14
ydd_Hebr,0.4081,0.1726,0.0049,0.9891,14
gle_Latn,0.4178,0.1968,0.0296,1.0,14
ory_Orya,0.4286,0.184,0.001,1.0,14
ban_Latn,0.443,0.2141,0.084,0.9526,14
mal_Mlym,0.4438,0.1951,0.003,0.999,14
tat_Cyrl,0.4509,0.2026,0.0099,1.0,14
tel_Telu,0.4514,0.203,0.003,1.0,14
khk_Cyrl,0.4542,0.2208,0.003,0.999,14
tam_Taml,0.4576,0.2099,0.003,0.999,14
mai_Deva,0.4598,0.1778,0.0109,1.0,14
bho_Deva,0.466,0.1984,0.0089,0.9941,14
min_Latn,0.47,0.2302,0.0978,0.9575,14
pan_Guru,0.472,0.1988,0.003,1.0,14
kan_Knda,0.4775,0.2119,0.002,1.0,14
crh_Latn,0.479,0.2109,0.0296,0.9872,14
pbt_Arab,0.4827,0.2172,0.0109,0.9911,14
hne_Deva,0.4926,0.2166,0.0089,0.9911,14
kir_Cyrl,0.4948,0.2341,0.0099,0.999,14
mlt_Latn,0.4993,0.2309,0.0208,1.0,14
fao_Latn,0.5,0.2258,0.0494,0.9891,14
war_Latn,0.5102,0.2438,0.1057,0.9931,14
snd_Arab,0.5156,0.239,0.004,1.0,14
hat_Latn,0.5158,0.2498,0.0524,0.9911,14
kat_Geor,0.5161,0.2505,0.0049,0.998,14
guj_Gujr,0.5188,0.2418,0.0049,1.0,14
mag_Deva,0.5197,0.236,0.0109,0.998,14
lmo_Latn,0.5201,0.2268,0.0474,0.9397,14
scn_Latn,0.5241,0.2392,0.0543,0.9447,14
kea_Latn,0.525,0.261,0.085,0.9812,14
awa_Deva,0.5275,0.2412,0.0168,0.9891,14
bjn_Latn,0.5331,0.2714,0.1265,0.9753,14
cym_Latn,0.5371,0.2704,0.0494,1.0,14
uzn_Latn,0.5385,0.2603,0.0128,0.999,14
kaz_Cyrl,0.5485,0.2529,0.0119,0.998,14
srd_Latn,0.551,0.2501,0.0721,0.9783,14
lij_Latn,0.5517,0.2513,0.0682,0.9694,14
ben_Beng,0.5532,0.2651,0.0188,1.0,14
szl_Latn,0.5556,0.2542,0.1265,0.9723,14
swh_Latn,0.5575,0.2893,0.0366,1.0,14
fur_Latn,0.5592,0.2581,0.0692,0.9842,14
npi_Deva,0.5603,0.2741,0.0089,0.997,14
lim_Latn,0.5634,0.2776,0.1255,0.95,14
mar_Deva,0.5645,0.28,0.0109,1.0,14
ltz_Latn,0.5676,0.2721,0.0474,0.999,14
eus_Latn,0.5737,0.2961,0.0227,1.0,14
ceb_Latn,0.5764,0.2823,0.0939,1.0,14
hye_Armn,0.5775,0.2876,0.0069,1.0,14
sun_Latn,0.5858,0.3163,0.0929,0.997,14
pap_Latn,0.5911,0.3029,0.1097,0.997,14
isl_Latn,0.5918,0.2963,0.0356,0.998,14
ary_Arab,0.5968,0.299,0.2115,0.9032,14
azj_Latn,0.6088,0.3112,0.0138,0.999,14
bel_Cyrl,0.6323,0.2994,0.0543,1.0,14
jav_Latn,0.6401,0.3502,0.0879,1.0,14
urd_Arab,0.6477,0.3278,0.0287,0.999,14
vec_Latn,0.6962,0.3691,0.1542,0.9881,14
hin_Deva,0.6974,0.3554,0.0395,1.0,14
ell_Grek,0.7056,0.358,0.0534,1.0,14
aeb_Arab,0.7081,0.3801,0.3192,0.9674,14
tgl_Latn,0.7101,0.3737,0.1146,1.0,14
als_Latn,0.7199,0.3724,0.0573,1.0,14
est_Latn,0.7324,0.3954,0.0563,1.0,14
tha_Thai,0.7372,0.3692,0.2549,0.9951,14
lit_Latn,0.754,0.4074,0.1206,0.996,14
fin_Latn,0.764,0.4209,0.1196,0.999,14
lvs_Latn,0.7677,0.397,0.0988,1.0,14
arz_Arab,0.7762,0.4256,0.3488,0.9951,14
kor_Hang,0.7841,0.461,0.3073,0.999,14
oci_Latn,0.7857,0.4154,0.2559,1.0,14
apc_Arab,0.7884,0.4444,0.3686,0.9941,14
tur_Latn,0.7983,0.4706,0.2401,1.0,14
prs_Arab,0.8032,0.4704,0.1413,1.0,14
hun_Latn,0.8036,0.4588,0.2154,1.0,14
pes_Arab,0.8079,0.483,0.1354,1.0,14
ajp_Arab,0.8201,0.4685,0.417,0.996,14
acm_Arab,0.8216,0.4664,0.4634,0.997,14
epo_Latn,0.8221,0.4622,0.2767,1.0,14
ast_Latn,0.8323,0.496,0.4002,1.0,14
acq_Arab,0.8327,0.4817,0.5069,0.999,14
jpn_Jpan,0.8372,0.5059,0.4447,1.0,14
slv_Latn,0.8459,0.4627,0.3458,1.0,14
heb_Hebr,0.8464,0.4866,0.3775,1.0,14
ars_Arab,0.8592,0.5048,0.5889,1.0,14
srp_Cyrl,0.8632,0.474,0.3547,1.0,14
arb_Arab,0.8642,0.5104,0.6057,1.0,14
mkd_Cyrl,0.8743,0.4822,0.4219,1.0,14
slk_Latn,0.8748,0.4979,0.501,0.999,14
ukr_Cyrl,0.881,0.505,0.4743,1.0,14
pol_Latn,0.8869,0.5244,0.6215,1.0,14
nno_Latn,0.8897,0.5326,0.5168,0.999,14
ces_Latn,0.8951,0.5193,0.5791,1.0,14
afr_Latn,0.8957,0.5289,0.5099,0.999,14
hrv_Latn,0.8982,0.5245,0.4931,0.999,14
bos_Latn,0.9057,0.5346,0.5138,1.0,14
bul_Cyrl,0.9113,0.528,0.6344,1.0,14
zho_Hant,0.9193,0.6481,0.7006,1.0,14
yue_Hant,0.927,0.6517,0.748,1.0,14
ron_Latn,0.9271,0.5616,0.7411,1.0,14
nld_Latn,0.9291,0.607,0.7846,1.0,14
zho_Hans,0.9332,0.6836,0.7342,1.0,14
rus_Cyrl,0.9374,0.6133,0.8043,1.0,14
cat_Latn,0.94,0.5642,0.751,1.0,14
zsm_Latn,0.9425,0.5987,0.7757,1.0,14
nob_Latn,0.9427,0.618,0.7253,1.0,14
vie_Latn,0.9441,0.6129,0.7609,1.0,14
dan_Latn,0.9503,0.6262,0.7668,1.0,14
swe_Latn,0.9568,0.6358,0.7955,1.0,14
fra_Latn,0.9596,0.6633,0.7441,1.0,14
spa_Latn,0.9622,0.6823,0.8182,1.0,14
ita_Latn,0.9624,0.6432,0.8291,1.0,14
glg_Latn,0.9636,0.6378,0.8775,1.0,14
deu_Latn,0.9641,0.6656,0.8676,1.0,14
ind_Latn,0.9653,0.6669,0.8577,1.0,14
por_Latn,0.986,0.7285,0.9407,1.0,14
