,gemma2-9B,gemma-7B,llama3.1-70B,llama3.1-8B,llama3-8B,llama2-7B,llama1-7B,mistral-7B,olmo-7B,avg
san_Deva,0.4366,0.1397,0.4958,0.2213,0.2193,0.0140,0.0040,0.1547,0.0075,0.1881
mai_Deva,0.3653,0.1891,0.5967,0.2213,0.2278,0.0140,0.0040,0.0489,0.0000,0.1852
hat_Latn,0.4099,0.1315,0.5967,0.1873,0.1603,0.0187,0.0081,0.1059,0.0075,0.1807
aeb_Arab,0.4010,0.0986,0.4866,0.2043,0.2193,0.0468,0.0363,0.1059,0.0000,0.1776
snd_Arab,0.2941,0.1480,0.6610,0.2468,0.2193,0.0047,0.0040,0.0163,0.0000,0.1771
hau_Latn,0.5079,0.2384,0.4866,0.1447,0.1434,0.0140,0.0040,0.0244,0.0075,0.1746
ibo_Latn,0.3742,0.1151,0.5876,0.2043,0.1772,0.0094,0.0040,0.0081,0.0075,0.1653
awa_Deva,0.2584,0.1233,0.5233,0.2383,0.2109,0.0094,0.0000,0.0489,0.0000,0.1569
tat_Cyrl,0.1693,0.1315,0.5692,0.2553,0.2615,0.0047,0.0040,0.0163,0.0000,0.1569
sin_Sinh,0.4544,0.1233,0.4590,0.1787,0.1772,0.0000,0.0000,0.0081,0.0075,0.1565
tuk_Latn,0.2762,0.1480,0.5233,0.1958,0.1772,0.0234,0.0081,0.0326,0.0075,0.1547
hne_Deva,0.2317,0.0822,0.6426,0.1873,0.1434,0.0094,0.0081,0.0407,0.0075,0.1503
kmr_Latn,0.2317,0.0575,0.6059,0.2128,0.2025,0.0094,0.0081,0.0244,0.0000,0.1503
ary_Arab,0.2941,0.0822,0.4498,0.1532,0.1772,0.0328,0.0202,0.0489,0.0000,0.1398
sna_Latn,0.4455,0.1562,0.3489,0.1192,0.1265,0.0140,0.0040,0.0244,0.0075,0.1385
ilo_Latn,0.3208,0.0986,0.4131,0.1617,0.1687,0.0234,0.0121,0.0326,0.0150,0.1385
zul_Latn,0.4812,0.1233,0.3948,0.0851,0.0844,0.0140,0.0081,0.0244,0.0150,0.1367
jav_Latn,0.2851,0.0904,0.4590,0.1447,0.1097,0.0187,0.0081,0.0244,0.0150,0.1284
plt_Latn,0.3742,0.0658,0.4958,0.0766,0.0844,0.0140,0.0121,0.0244,0.0075,0.1283
uig_Arab,0.1337,0.0493,0.5600,0.1787,0.1434,0.0000,0.0040,0.0163,0.0075,0.1214
min_Latn,0.1871,0.1151,0.4131,0.1447,0.1434,0.0234,0.0161,0.0244,0.0150,0.1203
amh_Ethi,0.5792,0.1315,0.3121,0.0255,0.0253,0.0000,0.0000,0.0081,0.0000,0.1202
sun_Latn,0.2495,0.0986,0.3580,0.1277,0.1350,0.0281,0.0202,0.0326,0.0225,0.1191
sot_Latn,0.2851,0.0904,0.4590,0.0766,0.0675,0.0140,0.0121,0.0244,0.0150,0.1160
smo_Latn,0.2406,0.0411,0.5325,0.0766,0.0675,0.0140,0.0081,0.0244,0.0150,0.1133
khm_Khmr,0.3742,0.1069,0.3948,0.0766,0.0422,0.0000,0.0000,0.0163,0.0000,0.1123
nya_Latn,0.3742,0.0822,0.3580,0.0511,0.0506,0.0187,0.0121,0.0244,0.0225,0.1104
xho_Latn,0.3475,0.1233,0.3121,0.0851,0.0506,0.0140,0.0081,0.0326,0.0150,0.1098
lus_Latn,0.4634,0.0329,0.3580,0.0511,0.0422,0.0047,0.0040,0.0163,0.0150,0.1097
tsn_Latn,0.2049,0.0904,0.4131,0.0851,0.0759,0.0187,0.0081,0.0244,0.0075,0.1031
nso_Latn,0.1871,0.0658,0.4682,0.0851,0.0591,0.0140,0.0121,0.0244,0.0075,0.1026
ory_Orya,0.2673,0.0247,0.4682,0.0681,0.0759,0.0000,0.0000,0.0000,0.0075,0.1013
ckb_Arab,0.1247,0.0575,0.4131,0.1192,0.1434,0.0047,0.0000,0.0244,0.0075,0.0994
yor_Latn,0.2406,0.0411,0.3948,0.0766,0.0675,0.0094,0.0121,0.0244,0.0075,0.0971
mya_Mymr,0.2584,0.0658,0.3672,0.0596,0.0591,0.0000,0.0040,0.0081,0.0000,0.0914
ssw_Latn,0.2762,0.0904,0.2662,0.0596,0.0591,0.0140,0.0121,0.0244,0.0075,0.0900
kin_Latn,0.2317,0.0658,0.2479,0.1021,0.1012,0.0140,0.0081,0.0244,0.0075,0.0892
tum_Latn,0.2049,0.0329,0.3397,0.0511,0.0591,0.0187,0.0121,0.0326,0.0150,0.0851
eus_Latn,0.1069,0.0740,0.3030,0.0681,0.0844,0.0375,0.0202,0.0407,0.0075,0.0825
run_Latn,0.2228,0.0575,0.2479,0.0511,0.0759,0.0140,0.0081,0.0326,0.0150,0.0805
som_Latn,0.2049,0.0986,0.2020,0.0851,0.0759,0.0094,0.0081,0.0163,0.0075,0.0786
lug_Latn,0.1426,0.0247,0.3213,0.0596,0.0675,0.0047,0.0121,0.0081,0.0075,0.0720
fij_Latn,0.1604,0.0164,0.3489,0.0426,0.0337,0.0047,0.0040,0.0081,0.0075,0.0696
bem_Latn,0.1604,0.0658,0.2479,0.0426,0.0337,0.0094,0.0081,0.0244,0.0150,0.0675
tso_Latn,0.1158,0.0329,0.3121,0.0426,0.0422,0.0094,0.0081,0.0244,0.0150,0.0669
pag_Latn,0.1337,0.0575,0.1836,0.0426,0.0422,0.0234,0.0202,0.0326,0.0225,0.0620
ban_Latn,0.1247,0.0493,0.2112,0.0511,0.0506,0.0094,0.0040,0.0244,0.0075,0.0591
twi_Latn,0.0891,0.0411,0.2479,0.0426,0.0337,0.0140,0.0121,0.0163,0.0075,0.0560
lin_Latn,0.0713,0.0164,0.1285,0.0596,0.0591,0.0187,0.0121,0.0244,0.0075,0.0442
ace_Latn,0.0356,0.0411,0.1744,0.0511,0.0422,0.0094,0.0081,0.0244,0.0075,0.0438
kik_Latn,0.0713,0.0164,0.1377,0.0340,0.0337,0.0140,0.0081,0.0326,0.0075,0.0395
quy_Latn,0.0624,0.0247,0.1193,0.0426,0.0337,0.0094,0.0081,0.0163,0.0075,0.0360
ayr_Latn,0.0446,0.0164,0.0918,0.0426,0.0253,0.0140,0.0161,0.0244,0.0150,0.0323
wol_Latn,0.0267,0.0164,0.0918,0.0426,0.0422,0.0140,0.0081,0.0081,0.0075,0.0286
bug_Latn,0.0267,0.0082,0.0826,0.0426,0.0422,0.0094,0.0081,0.0163,0.0075,0.0271
sag_Latn,0.0178,0.0247,0.0551,0.0340,0.0253,0.0140,0.0121,0.0244,0.0225,0.0256
ewe_Latn,0.0267,0.0164,0.0734,0.0255,0.0253,0.0140,0.0040,0.0163,0.0150,0.0241
dyu_Latn,0.0356,0.0082,0.0918,0.0170,0.0169,0.0140,0.0081,0.0163,0.0075,0.0239
bam_Latn,0.0356,0.0164,0.0459,0.0340,0.0337,0.0187,0.0081,0.0081,0.0075,0.0231
luo_Latn,0.0267,0.0247,0.0459,0.0255,0.0337,0.0140,0.0121,0.0163,0.0075,0.0229
tir_Ethi,0.1158,0.0247,0.0367,0.0085,0.0084,0.0000,0.0000,0.0081,0.0000,0.0225
kab_Latn,0.0267,0.0082,0.0734,0.0340,0.0169,0.0094,0.0081,0.0163,0.0075,0.0223
fuv_Latn,0.0267,0.0164,0.0551,0.0426,0.0337,0.0047,0.0081,0.0081,0.0000,0.0217
kac_Latn,0.0178,0.0000,0.0643,0.0255,0.0253,0.0094,0.0040,0.0081,0.0075,0.0180
shn_Mymr,0.0089,0.0000,0.0918,0.0255,0.0253,0.0047,0.0000,0.0000,0.0000,0.0174
mos_Latn,0.0178,0.0082,0.0275,0.0426,0.0253,0.0047,0.0040,0.0163,0.0075,0.0171
taq_Latn,0.0089,0.0164,0.0459,0.0255,0.0169,0.0047,0.0000,0.0163,0.0000,0.0150
dik_Latn,0.0089,0.0164,0.0275,0.0255,0.0084,0.0094,0.0081,0.0163,0.0075,0.0142
fon_Latn,0.0178,0.0000,0.0275,0.0170,0.0169,0.0047,0.0081,0.0163,0.0075,0.0129
kbp_Latn,0.0267,0.0082,0.0275,0.0170,0.0169,0.0047,0.0040,0.0081,0.0000,0.0126
nus_Latn,0.0089,0.0000,0.0184,0.0170,0.0084,0.0094,0.0040,0.0081,0.0075,0.0091
