code,Qwen/Qwen3-1.7B_max,Qwen/Qwen3-1.7B_mean,avg
khk_Cyrl,0.0237,0.0062,0.0237
tpi_Latn,0.085,0.0547,0.085
khm_Khmr,0.0158,0.0034,0.0158
hye_Armn,0.1364,0.0298,0.1364
bem_Latn,0.0346,0.0136,0.0346
pol_Latn,0.913,0.2983,0.913
uzn_Latn,0.1225,0.0359,0.1225
ory_Orya,0.0158,0.0029,0.0158
ind_Latn,0.9733,0.3973,0.9733
min_Arab,0.002,0.0006,0.002
ita_Latn,0.9684,0.4291,0.9684
ron_Latn,0.9575,0.3263,0.9575
min_Latn,0.2213,0.0866,0.2213
bak_Cyrl,0.0593,0.0156,0.0593
uig_Arab,0.0079,0.0035,0.0079
kas_Arab,0.0178,0.0048,0.0178
ces_Latn,0.9032,0.268,0.9032
pag_Latn,0.1196,0.0775,0.1196
run_Latn,0.0277,0.0096,0.0277
pbt_Arab,0.0366,0.0111,0.0366
pan_Guru,0.0148,0.004,0.0148
crh_Latn,0.165,0.054,0.165
knc_Arab,0.0049,0.0017,0.0049
mai_Deva,0.0741,0.0192,0.0741
sot_Latn,0.0573,0.0162,0.0573
lit_Latn,0.6571,0.1651,0.6571
epo_Latn,0.7856,0.2435,0.7856
war_Latn,0.3221,0.0994,0.3221
tel_Telu,0.0178,0.0059,0.0178
luo_Latn,0.0445,0.0182,0.0445
hin_Deva,0.3706,0.0691,0.3706
pes_Arab,0.6433,0.1454,0.6433
twi_Latn,0.0405,0.019,0.0405
apc_Arab,0.7836,0.2246,0.7836
kir_Cyrl,0.0514,0.0125,0.0514
kmr_Latn,0.0296,0.0128,0.0296
fao_Latn,0.1561,0.05,0.1561
azb_Arab,0.0336,0.0102,0.0336
urd_Arab,0.2915,0.0548,0.2915
oci_Latn,0.8103,0.2856,0.8103
ayr_Latn,0.0168,0.0101,0.0168
shn_Mymr,0.002,0.0011,0.002
kaz_Cyrl,0.1532,0.0283,0.1532
lus_Latn,0.0356,0.0223,0.0356
npi_Deva,0.0662,0.0175,0.0662
nso_Latn,0.0484,0.0192,0.0484
tam_Taml,0.0662,0.0132,0.0662
tha_Thai,0.7866,0.175,0.7866
scn_Latn,0.334,0.1117,0.334
hat_Latn,0.1344,0.0484,0.1344
kat_Geor,0.0514,0.0137,0.0514
yue_Hant,0.9783,0.6813,0.9783
taq_Latn,0.0385,0.0162,0.0385
bod_Tibt,0.001,0.0001,0.001
lij_Latn,0.4229,0.1438,0.4229
hau_Latn,0.0395,0.0148,0.0395
ell_Grek,0.4951,0.0974,0.4951
sag_Latn,0.0287,0.0156,0.0287
mri_Latn,0.0375,0.0144,0.0375
ckb_Arab,0.0089,0.003,0.0089
nus_Latn,0.0099,0.004,0.0099
dan_Latn,0.9496,0.3401,0.9496
vec_Latn,0.665,0.2553,0.665
spa_Latn,0.9773,0.4938,0.9773
lim_Latn,0.334,0.1173,0.334
som_Latn,0.0287,0.0099,0.0287
zho_Hans,0.9694,0.7486,0.9694
jav_Latn,0.3903,0.1198,0.3903
sun_Latn,0.3231,0.0981,0.3231
ssw_Latn,0.0316,0.0085,0.0316
prs_Arab,0.6146,0.1356,0.6146
ars_Arab,0.916,0.2829,0.916
nno_Latn,0.8735,0.2965,0.8735
aka_Latn,0.0435,0.0214,0.0435
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.5514,0.1455,0.5514
swe_Latn,0.9575,0.3676,0.9575
nld_Latn,0.9249,0.3528,0.9249
acq_Arab,0.8755,0.2705,0.8755
sat_Olck,0.001,0.0,0.001
kam_Latn,0.0375,0.0193,0.0375
por_Latn,0.9862,0.5163,0.9862
vie_Latn,0.9654,0.4169,0.9654
mar_Deva,0.1393,0.0287,0.1393
lin_Latn,0.0336,0.0175,0.0336
fra_Latn,0.9822,0.4801,0.9822
gle_Latn,0.0296,0.0117,0.0296
cat_Latn,0.9713,0.3761,0.9713
srd_Latn,0.3093,0.1121,0.3093
kac_Latn,0.0119,0.006,0.0119
yor_Latn,0.0138,0.0082,0.0138
bam_Latn,0.0198,0.0112,0.0198
hrv_Latn,0.8962,0.2714,0.8962
kon_Latn,0.0296,0.0155,0.0296
zul_Latn,0.0296,0.0086,0.0296
bjn_Latn,0.2846,0.1028,0.2846
kab_Latn,0.0148,0.0046,0.0148
kas_Deva,0.0099,0.0035,0.0099
bel_Cyrl,0.417,0.0904,0.417
pap_Latn,0.3152,0.1291,0.3152
slv_Latn,0.8034,0.2224,0.8034
glg_Latn,0.9723,0.4185,0.9723
swh_Latn,0.0385,0.0147,0.0385
tsn_Latn,0.0425,0.0143,0.0425
xho_Latn,0.0346,0.0116,0.0346
sin_Sinh,0.003,0.0006,0.003
ban_Latn,0.1522,0.0679,0.1522
ltg_Latn,0.0899,0.0313,0.0899
mlt_Latn,0.1502,0.0423,0.1502
heb_Hebr,0.8449,0.2682,0.8449
tso_Latn,0.0425,0.0142,0.0425
ben_Beng,0.2253,0.0421,0.2253
mkd_Cyrl,0.8172,0.2122,0.8172
kmb_Latn,0.0237,0.0097,0.0237
gla_Latn,0.0267,0.0094,0.0267
umb_Latn,0.0247,0.0106,0.0247
kbp_Latn,0.0079,0.0035,0.0079
srp_Cyrl,0.8211,0.2205,0.8211
arz_Arab,0.7619,0.2371,0.7619
gaz_Latn,0.0089,0.003,0.0089
bug_Latn,0.0573,0.0288,0.0573
aeb_Arab,0.6828,0.2092,0.6828
fon_Latn,0.0099,0.0044,0.0099
ajp_Arab,0.8172,0.243,0.8172
afr_Latn,0.8626,0.2946,0.8626
ary_Arab,0.4921,0.1548,0.4921
eus_Latn,0.1107,0.0334,0.1107
guj_Gujr,0.0455,0.0112,0.0455
awa_Deva,0.1779,0.0373,0.1779
azj_Latn,0.1779,0.0438,0.1779
mya_Mymr,0.003,0.0007,0.003
bjn_Arab,0.0049,0.0017,0.0049
deu_Latn,0.9694,0.4176,0.9694
tur_Latn,0.583,0.1869,0.583
ceb_Latn,0.3755,0.1101,0.3755
wol_Latn,0.0425,0.0207,0.0425
mni_Beng,0.003,0.0007,0.003
jpn_Jpan,0.7796,0.3273,0.7796
smo_Latn,0.0356,0.0132,0.0356
