code,swiss-ai/Apertus-8B-2509_max,swiss-ai/Apertus-8B-2509_mean,avg
deu_Latn,0.61,0.3652,0.61
bjn_Arab,0.11,0.0315,0.11
ayr_Latn,0.12,0.0267,0.12
oci_Latn,0.74,0.2448,0.74
urd_Arab,0.32,0.1061,0.32
azb_Arab,0.13,0.0321,0.13
fao_Latn,0.39,0.1158,0.39
nso_Latn,0.22,0.0539,0.22
npi_Deva,0.27,0.1,0.27
lus_Latn,0.22,0.0642,0.22
shn_Mymr,0.02,0.0036,0.02
kaz_Cyrl,0.2,0.0809,0.2
taq_Latn,0.14,0.0385,0.14
yue_Hant,0.59,0.2655,0.59
kat_Geor,0.22,0.0927,0.22
hat_Latn,0.69,0.1791,0.69
scn_Latn,0.52,0.1706,0.52
tha_Thai,0.22,0.0803,0.22
tam_Taml,0.25,0.1009,0.25
sag_Latn,0.12,0.0345,0.12
ell_Grek,0.47,0.15,0.47
hau_Latn,0.19,0.0612,0.19
lij_Latn,0.47,0.1527,0.47
bod_Tibt,0.02,0.0042,0.02
som_Latn,0.19,0.0545,0.19
lim_Latn,0.5,0.1764,0.5
spa_Latn,0.72,0.4118,0.72
vec_Latn,0.6,0.2106,0.6
dan_Latn,0.57,0.2488,0.57
nus_Latn,0.04,0.0115,0.04
ckb_Arab,0.09,0.0258,0.09
mri_Latn,0.17,0.0509,0.17
aka_Latn,0.1,0.0294,0.1
nno_Latn,0.67,0.2815,0.67
ars_Arab,0.72,0.3939,0.72
ssw_Latn,0.17,0.0491,0.17
prs_Arab,0.55,0.2397,0.55
sun_Latn,0.47,0.1861,0.47
jav_Latn,0.44,0.1621,0.44
zho_Hans,0.63,0.28,0.63
acq_Arab,0.68,0.3448,0.68
nld_Latn,0.7,0.3139,0.7
swe_Latn,0.73,0.3297,0.73
tgl_Latn,0.35,0.1403,0.35
eng_Latn,1.0,1.0,1.0
fra_Latn,0.83,0.5024,0.83
lin_Latn,0.2,0.0691,0.2
mar_Deva,0.25,0.0724,0.25
vie_Latn,0.65,0.2909,0.65
por_Latn,0.87,0.5167,0.87
kam_Latn,0.21,0.0748,0.21
sat_Olck,0.01,0.0018,0.01
kea_Latn,0.61,0.2003,0.61
bos_Latn,0.71,0.2618,0.71
mos_Latn,0.16,0.0439,0.16
cym_Latn,0.33,0.1012,0.33
acm_Arab,0.66,0.3218,0.66
ilo_Latn,0.25,0.0915,0.25
ast_Latn,0.78,0.3373,0.78
tpi_Latn,0.3,0.0867,0.3
khk_Cyrl,0.13,0.0482,0.13
amh_Ethi,0.05,0.0076,0.05
tir_Ethi,0.03,0.0055,0.03
knc_Latn,0.07,0.0248,0.07
san_Deva,0.11,0.0385,0.11
bem_Latn,0.22,0.0379,0.22
hye_Armn,0.43,0.1709,0.43
khm_Khmr,0.08,0.0227,0.08
min_Arab,0.06,0.0191,0.06
ind_Latn,0.81,0.4367,0.81
ory_Orya,0.04,0.0127,0.04
uzn_Latn,0.21,0.0752,0.21
pol_Latn,0.54,0.207,0.54
kas_Arab,0.11,0.0361,0.11
uig_Arab,0.06,0.0239,0.06
bak_Cyrl,0.11,0.0458,0.11
min_Latn,0.48,0.183,0.48
ron_Latn,0.66,0.2427,0.66
ita_Latn,0.75,0.3679,0.75
pag_Latn,0.45,0.1552,0.45
ces_Latn,0.62,0.2527,0.62
mai_Deva,0.16,0.0627,0.16
knc_Arab,0.05,0.0142,0.05
crh_Latn,0.3,0.1112,0.3
pbt_Arab,0.18,0.0539,0.18
pan_Guru,0.21,0.0764,0.21
run_Latn,0.14,0.0379,0.14
kmr_Latn,0.17,0.0682,0.17
kir_Cyrl,0.11,0.0445,0.11
apc_Arab,0.64,0.3467,0.64
twi_Latn,0.18,0.0348,0.18
pes_Arab,0.56,0.2488,0.56
hin_Deva,0.39,0.1548,0.39
luo_Latn,0.26,0.0703,0.26
tel_Telu,0.24,0.1,0.24
war_Latn,0.4,0.1364,0.4
lit_Latn,0.42,0.1433,0.42
epo_Latn,0.62,0.2233,0.62
sot_Latn,0.22,0.0455,0.22
nya_Latn,0.18,0.0397,0.18
ydd_Hebr,0.29,0.0715,0.29
arb_Latn,0.12,0.0539,0.12
lua_Latn,0.27,0.0706,0.27
ace_Arab,0.07,0.0248,0.07
mag_Deva,0.29,0.0921,0.29
fur_Latn,0.5,0.1779,0.5
asm_Beng,0.11,0.0297,0.11
lao_Laoo,0.05,0.017,0.05
bho_Deva,0.23,0.0758,0.23
als_Latn,0.54,0.1555,0.54
fij_Latn,0.21,0.0394,0.21
ewe_Latn,0.07,0.0236,0.07
est_Latn,0.4,0.16,0.4
grn_Latn,0.14,0.043,0.14
zsm_Latn,0.78,0.3727,0.78
tum_Latn,0.13,0.0345,0.13
zho_Hant,0.59,0.2461,0.59
rus_Cyrl,0.68,0.2961,0.68
kin_Latn,0.19,0.0406,0.19
tgk_Cyrl,0.2,0.0527,0.2
hne_Deva,0.21,0.0697,0.21
kor_Hang,0.49,0.2467,0.49
kan_Knda,0.25,0.0948,0.25
ibo_Latn,0.1,0.0379,0.1
tuk_Latn,0.15,0.0421,0.15
quy_Latn,0.09,0.0439,0.09
ltz_Latn,0.39,0.1267,0.39
sna_Latn,0.18,0.0555,0.18
nob_Latn,0.71,0.3361,0.71
hun_Latn,0.48,0.2109,0.48
lmo_Latn,0.45,0.1603,0.45
tat_Cyrl,0.24,0.0748,0.24
lvs_Latn,0.38,0.1045,0.38
dzo_Tibt,0.01,0.0027,0.01
mal_Mlym,0.24,0.1018,0.24
fuv_Latn,0.2,0.07,0.2
plt_Latn,0.18,0.0452,0.18
bul_Cyrl,0.53,0.1803,0.53
lug_Latn,0.25,0.057,0.25
ukr_Cyrl,0.52,0.1842,0.52
dik_Latn,0.07,0.0258,0.07
dyu_Latn,0.12,0.0418,0.12
slk_Latn,0.53,0.1948,0.53
kik_Latn,0.13,0.0242,0.13
cjk_Latn,0.18,0.0603,0.18
szl_Latn,0.44,0.1255,0.44
fin_Latn,0.38,0.1655,0.38
tzm_Tfng,0.01,0.0015,0.01
ace_Latn,0.26,0.1164,0.26
isl_Latn,0.37,0.13,0.37
snd_Arab,0.15,0.0542,0.15
taq_Tfng,0.01,0.0015,0.01
arb_Arab,0.7,0.3924,0.7
