code,Qwen/Qwen3-Embedding-4B_max,Qwen/Qwen3-Embedding-4B_mean,avg
tso_Latn,0.2342,0.0688,0.2342
heb_Hebr,0.9792,0.63,0.9792
mlt_Latn,0.7638,0.3353,0.7638
ben_Beng,0.9368,0.373,0.9368
mkd_Cyrl,0.9753,0.5272,0.9753
kmb_Latn,0.2075,0.0589,0.2075
kbp_Latn,0.2302,0.045,0.2302
umb_Latn,0.2036,0.0584,0.2036
gla_Latn,0.248,0.0734,0.248
srp_Cyrl,0.9901,0.5304,0.9901
bug_Latn,0.498,0.1661,0.498
gaz_Latn,0.1374,0.0362,0.1374
arz_Arab,0.9792,0.5643,0.9792
aeb_Arab,0.9377,0.5333,0.9377
fon_Latn,0.2362,0.0502,0.2362
ajp_Arab,0.9812,0.6087,0.9812
afr_Latn,0.9951,0.6091,0.9951
guj_Gujr,0.9249,0.3179,0.9249
eus_Latn,0.6275,0.2616,0.6275
ary_Arab,0.8715,0.4401,0.8715
awa_Deva,0.9536,0.3938,0.9536
mya_Mymr,0.6453,0.1039,0.6453
azj_Latn,0.8449,0.3497,0.8449
bjn_Arab,0.1186,0.0298,0.1186
ceb_Latn,0.8745,0.4051,0.8745
tur_Latn,0.9753,0.5535,0.9753
deu_Latn,1.0,0.736,1.0
mni_Beng,0.3024,0.0546,0.3024
wol_Latn,0.3093,0.0987,0.3093
smo_Latn,0.3864,0.1296,0.3864
jpn_Jpan,0.9862,0.6801,0.9862
