code,swiss-ai/Apertus-v1.1-4B_max,swiss-ai/Apertus-v1.1-4B_mean,avg
bel_Cyrl,0.82,0.3568,0.82
hrv_Latn,0.94,0.5408,0.94
kon_Latn,0.15,0.062,0.15
zul_Latn,0.12,0.034,0.12
bjn_Latn,0.43,0.2296,0.43
gle_Latn,0.39,0.112,0.39
kac_Latn,0.11,0.0132,0.11
cat_Latn,0.93,0.5792,0.93
srd_Latn,0.49,0.21,0.49
bam_Latn,0.1,0.024,0.1
yor_Latn,0.07,0.036,0.07
wol_Latn,0.17,0.052,0.17
mni_Beng,0.04,0.0204,0.04
jpn_Jpan,0.86,0.5528,0.86
smo_Latn,0.18,0.0412,0.18
bjn_Arab,0.02,0.0148,0.02
deu_Latn,0.99,0.7592,0.99
tur_Latn,0.85,0.4472,0.85
ceb_Latn,0.49,0.1624,0.49
azj_Latn,0.65,0.268,0.65
mya_Mymr,0.16,0.0608,0.16
ary_Arab,0.61,0.3236,0.61
eus_Latn,0.68,0.2568,0.68
guj_Gujr,0.41,0.1936,0.41
awa_Deva,0.41,0.1988,0.41
fon_Latn,0.03,0.0024,0.03
aeb_Arab,0.76,0.4552,0.76
afr_Latn,0.91,0.504,0.91
ajp_Arab,0.88,0.5408,0.88
srp_Cyrl,0.93,0.458,0.93
arz_Arab,0.86,0.4856,0.86
gaz_Latn,0.07,0.014,0.07
bug_Latn,0.22,0.0924,0.22
kmb_Latn,0.14,0.0316,0.14
gla_Latn,0.24,0.0676,0.24
kbp_Latn,0.04,0.0104,0.04
umb_Latn,0.13,0.0272,0.13
mkd_Cyrl,0.92,0.4572,0.92
rus_Cyrl,0.96,0.7592,0.96
zho_Hant,0.94,0.6396,0.94
hne_Deva,0.39,0.1536,0.39
tgk_Cyrl,0.32,0.1056,0.32
kin_Latn,0.17,0.0628,0.17
ewe_Latn,0.09,0.036,0.09
fij_Latn,0.2,0.0396,0.2
als_Latn,0.84,0.3848,0.84
bho_Deva,0.42,0.1932,0.42
lao_Laoo,0.06,0.0204,0.06
tum_Latn,0.1,0.0392,0.1
grn_Latn,0.17,0.0416,0.17
zsm_Latn,0.94,0.5792,0.94
est_Latn,0.88,0.4388,0.88
fur_Latn,0.5,0.248,0.5
asm_Beng,0.2,0.0684,0.2
mag_Deva,0.42,0.194,0.42
ace_Arab,0.03,0.0124,0.03
nya_Latn,0.18,0.0608,0.18
ydd_Hebr,0.26,0.0932,0.26
lua_Latn,0.25,0.0676,0.25
arb_Latn,0.1,0.0404,0.1
arb_Arab,0.96,0.6456,0.96
taq_Tfng,0.01,0.0024,0.01
kik_Latn,0.14,0.0368,0.14
szl_Latn,0.42,0.2156,0.42
cjk_Latn,0.15,0.0468,0.15
dik_Latn,0.09,0.0208,0.09
slk_Latn,0.94,0.5172,0.94
dyu_Latn,0.14,0.0444,0.14
lug_Latn,0.22,0.0564,0.22
ukr_Cyrl,0.96,0.5332,0.96
snd_Arab,0.21,0.0636,0.21
isl_Latn,0.73,0.2656,0.73
ace_Latn,0.25,0.1112,0.25
tzm_Tfng,0.01,0.0024,0.01
fin_Latn,0.9,0.4448,0.9
dzo_Tibt,0.01,0.0016,0.01
tat_Cyrl,0.43,0.1656,0.43
lvs_Latn,0.83,0.3608,0.83
bul_Cyrl,0.94,0.5116,0.94
plt_Latn,0.22,0.066,0.22
fuv_Latn,0.21,0.0672,0.21
mal_Mlym,0.43,0.202,0.43
tuk_Latn,0.33,0.106,0.33
ibo_Latn,0.15,0.0496,0.15
kan_Knda,0.47,0.2248,0.47
kor_Hang,0.94,0.5692,0.94
lmo_Latn,0.41,0.216,0.41
hun_Latn,0.91,0.4744,0.91
sna_Latn,0.16,0.038,0.16
nob_Latn,0.96,0.616,0.96
quy_Latn,0.09,0.0424,0.09
ltz_Latn,0.69,0.288,0.69
uzn_Latn,0.47,0.1924,0.47
ind_Latn,0.98,0.6908,0.98
min_Arab,0.03,0.0092,0.03
ory_Orya,0.03,0.0068,0.03
pol_Latn,0.95,0.5536,0.95
khm_Khmr,0.07,0.024,0.07
bem_Latn,0.21,0.0364,0.21
hye_Armn,0.8,0.4364,0.8
tir_Ethi,0.02,0.0032,0.02
amh_Ethi,0.04,0.0084,0.04
khk_Cyrl,0.39,0.1352,0.39
tpi_Latn,0.33,0.1212,0.33
san_Deva,0.18,0.0404,0.18
knc_Latn,0.07,0.0124,0.07
cym_Latn,0.59,0.2264,0.59
mos_Latn,0.17,0.0356,0.17
kea_Latn,0.46,0.2316,0.46
bos_Latn,0.97,0.5568,0.97
ast_Latn,0.95,0.5452,0.95
acm_Arab,0.93,0.5916,0.93
ilo_Latn,0.28,0.1068,0.28
hin_Deva,0.77,0.4156,0.77
pes_Arab,0.91,0.5556,0.91
twi_Latn,0.22,0.0436,0.22
apc_Arab,0.9,0.5268,0.9
kir_Cyrl,0.37,0.14,0.37
kmr_Latn,0.3,0.1012,0.3
sot_Latn,0.24,0.044,0.24
lit_Latn,0.87,0.4024,0.87
epo_Latn,0.89,0.436,0.89
war_Latn,0.46,0.1672,0.46
luo_Latn,0.31,0.062,0.31
tel_Telu,0.48,0.2292,0.48
knc_Arab,0.04,0.0168,0.04
crh_Latn,0.44,0.1912,0.44
mai_Deva,0.29,0.122,0.29
run_Latn,0.12,0.0456,0.12
pan_Guru,0.41,0.1728,0.41
pbt_Arab,0.46,0.152,0.46
ces_Latn,0.96,0.604,0.96
pag_Latn,0.46,0.1816,0.46
kas_Arab,0.11,0.0412,0.11
ita_Latn,0.97,0.6904,0.97
ron_Latn,0.94,0.5632,0.94
min_Latn,0.49,0.226,0.49
bak_Cyrl,0.28,0.092,0.28
uig_Arab,0.07,0.0276,0.07
