code,jhu-clsp/mmBERT-base_max,jhu-clsp/mmBERT-base_mean,avg
ita_Latn,0.9654,0.5004,0.9654
kas_Arab,0.0148,0.0072,0.0148
ell_Grek,0.5731,0.1133,0.5731
bod_Tibt,0.0079,0.0018,0.0079
lij_Latn,0.2302,0.0836,0.2302
hau_Latn,0.0504,0.0324,0.0504
sag_Latn,0.0543,0.0292,0.0543
hat_Latn,0.587,0.1804,0.587
scn_Latn,0.1522,0.0723,0.1522
tam_Taml,0.1393,0.0244,0.1393
tha_Thai,0.4792,0.12,0.4792
kat_Geor,0.0366,0.0072,0.0366
yue_Hant,0.8597,0.4138,0.8597
taq_Latn,0.0514,0.0264,0.0514
lus_Latn,0.0395,0.027,0.0395
shn_Mymr,0.003,0.0012,0.003
kaz_Cyrl,0.0366,0.0137,0.0366
npi_Deva,0.2688,0.0505,0.2688
nso_Latn,0.0534,0.0351,0.0534
fao_Latn,0.2708,0.0786,0.2708
ayr_Latn,0.0178,0.0099,0.0178
oci_Latn,0.6423,0.2081,0.6423
azb_Arab,0.0494,0.015,0.0494
urd_Arab,0.3241,0.0674,0.3241
mar_Deva,0.2174,0.0399,0.2174
vie_Latn,0.9269,0.4324,0.9269
kam_Latn,0.0563,0.038,0.0563
por_Latn,0.9931,0.6651,0.9931
sat_Olck,0.0,0.0,0.0
fra_Latn,0.9822,0.5639,0.9822
lin_Latn,0.0662,0.0369,0.0662
acq_Arab,0.7154,0.2419,0.7154
nld_Latn,0.9071,0.4633,0.9071
swe_Latn,0.9625,0.5033,0.9625
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.583,0.1654,0.583
jav_Latn,0.5455,0.217,0.5455
zho_Hans,0.8982,0.4787,0.8982
nno_Latn,0.9279,0.3979,0.9279
aka_Latn,0.0494,0.0291,0.0494
ars_Arab,0.749,0.2519,0.749
prs_Arab,0.7717,0.3124,0.7717
ssw_Latn,0.0445,0.0256,0.0445
sun_Latn,0.164,0.1,0.164
ckb_Arab,0.0306,0.0079,0.0306
nus_Latn,0.0109,0.0058,0.0109
dan_Latn,0.9545,0.4729,0.9545
vec_Latn,0.4447,0.1867,0.4447
mri_Latn,0.1166,0.0398,0.1166
lim_Latn,0.2599,0.1229,0.2599
som_Latn,0.083,0.0336,0.083
spa_Latn,0.9664,0.5879,0.9664
ltg_Latn,0.0909,0.0297,0.0909
ban_Latn,0.1621,0.1001,0.1621
ben_Beng,0.1621,0.0287,0.1621
tso_Latn,0.0494,0.0299,0.0494
mlt_Latn,0.3439,0.0827,0.3439
heb_Hebr,0.6966,0.169,0.6966
glg_Latn,0.9625,0.4985,0.9625
swh_Latn,0.4684,0.1129,0.4684
sin_Sinh,0.0168,0.0038,0.0168
tsn_Latn,0.0435,0.0274,0.0435
xho_Latn,0.0692,0.0298,0.0692
bel_Cyrl,0.3567,0.0575,0.3567
kab_Latn,0.0178,0.0109,0.0178
kas_Deva,0.0178,0.0075,0.0178
pap_Latn,0.5237,0.18,0.5237
slv_Latn,0.8251,0.233,0.8251
yor_Latn,0.0208,0.0131,0.0208
bam_Latn,0.0257,0.017,0.0257
cat_Latn,0.9121,0.3388,0.9121
srd_Latn,0.2787,0.0925,0.2787
kac_Latn,0.0168,0.0104,0.0168
gle_Latn,0.1462,0.0406,0.1462
bjn_Latn,0.252,0.1517,0.252
hrv_Latn,0.8646,0.2527,0.8646
kon_Latn,0.0573,0.0308,0.0573
zul_Latn,0.0524,0.0247,0.0524
ceb_Latn,0.4605,0.1416,0.4605
deu_Latn,0.9694,0.5874,0.9694
tur_Latn,0.7115,0.2658,0.7115
bjn_Arab,0.003,0.0009,0.003
smo_Latn,0.0563,0.0276,0.0563
jpn_Jpan,0.8271,0.3176,0.8271
mni_Beng,0.0049,0.0023,0.0049
wol_Latn,0.0682,0.0362,0.0682
awa_Deva,0.1897,0.0391,0.1897
guj_Gujr,0.0899,0.0155,0.0899
ary_Arab,0.414,0.1317,0.414
eus_Latn,0.2866,0.0698,0.2866
mya_Mymr,0.0069,0.0014,0.0069
azj_Latn,0.2194,0.0483,0.2194
bug_Latn,0.0711,0.0479,0.0711
arz_Arab,0.6551,0.2053,0.6551
gaz_Latn,0.0178,0.007,0.0178
srp_Cyrl,0.7806,0.1701,0.7806
ajp_Arab,0.7223,0.2574,0.7223
afr_Latn,0.916,0.3672,0.916
aeb_Arab,0.5415,0.1775,0.5415
fon_Latn,0.0099,0.0053,0.0099
mkd_Cyrl,0.8409,0.202,0.8409
kbp_Latn,0.0099,0.0049,0.0099
umb_Latn,0.0316,0.0208,0.0316
gla_Latn,0.1107,0.0331,0.1107
kmb_Latn,0.0366,0.0211,0.0366
