code,FacebookAI/xlm-roberta-large_max,FacebookAI/xlm-roberta-large_mean,avg
min_Latn,0.1808,0.1047,0.1808
ita_Latn,0.9516,0.676,0.9516
uig_Arab,0.5741,0.2297,0.5741
bak_Cyrl,0.0217,0.0111,0.0217
kas_Arab,0.0257,0.0133,0.0257
tgk_Cyrl,0.0049,0.0023,0.0049
hne_Deva,0.4091,0.146,0.4091
kin_Latn,0.0198,0.0111,0.0198
rus_Cyrl,0.9387,0.6585,0.9387
zho_Hant,0.8646,0.54,0.8646
tum_Latn,0.0227,0.015,0.0227
est_Latn,0.9081,0.5386,0.9081
grn_Latn,0.0217,0.0142,0.0217
zsm_Latn,0.9654,0.6547,0.9654
ewe_Latn,0.0119,0.0065,0.0119
als_Latn,0.9219,0.5193,0.9219
fij_Latn,0.0227,0.0123,0.0227
lao_Laoo,0.7559,0.3623,0.7559
bho_Deva,0.3152,0.1213,0.3152
fur_Latn,0.1868,0.0783,0.1868
asm_Beng,0.2737,0.0775,0.2737
ace_Arab,0.0049,0.0014,0.0049
mag_Deva,0.3913,0.1487,0.3913
arb_Latn,0.0138,0.0076,0.0138
lua_Latn,0.0306,0.0197,0.0306
nya_Latn,0.0375,0.0222,0.0375
ydd_Hebr,0.5494,0.2276,0.5494
arb_Arab,0.833,0.4927,0.833
taq_Tfng,0.003,0.0016,0.003
isl_Latn,0.8211,0.4472,0.8211
ace_Latn,0.0623,0.0449,0.0623
snd_Arab,0.6769,0.3326,0.6769
fin_Latn,0.9239,0.5846,0.9239
tzm_Tfng,0.003,0.0026,0.003
dik_Latn,0.0385,0.02,0.0385
slk_Latn,0.9318,0.6254,0.9318
dyu_Latn,0.0128,0.0069,0.0128
kik_Latn,0.0217,0.0147,0.0217
szl_Latn,0.3676,0.1421,0.3676
cjk_Latn,0.0198,0.0121,0.0198
lug_Latn,0.0316,0.017,0.0316
ukr_Cyrl,0.9368,0.6198,0.9368
bul_Cyrl,0.9407,0.6548,0.9407
mal_Mlym,0.6502,0.3189,0.6502
fuv_Latn,0.0435,0.0262,0.0435
plt_Latn,0.3518,0.1272,0.3518
tat_Cyrl,0.0435,0.0175,0.0435
lvs_Latn,0.9012,0.5234,0.9012
dzo_Tibt,0.001,0.0006,0.001
sna_Latn,0.0257,0.0153,0.0257
nob_Latn,0.9743,0.789,0.9743
lmo_Latn,0.1828,0.0678,0.1828
hun_Latn,0.9368,0.6168,0.9368
quy_Latn,0.0128,0.0094,0.0128
ltz_Latn,0.1225,0.0501,0.1225
ibo_Latn,0.0128,0.0091,0.0128
tuk_Latn,0.0326,0.0117,0.0326
kor_Hang,0.836,0.4893,0.836
kan_Knda,0.6986,0.3477,0.6986
