code,cis-lmu/glot500-base_max,cis-lmu/glot500-base_mean,avg
eus_Latn,0.4555,0.2247,0.4555
ary_Arab,0.3735,0.2023,0.3735
guj_Gujr,0.5346,0.3032,0.5346
awa_Deva,0.2796,0.1483,0.2796
wol_Latn,0.0692,0.0521,0.0692
mni_Beng,0.002,0.0014,0.002
jpn_Jpan,0.5237,0.2903,0.5237
smo_Latn,0.0909,0.0544,0.0909
bjn_Arab,0.002,0.0009,0.002
tur_Latn,0.7194,0.4491,0.7194
deu_Latn,0.8676,0.5807,0.8676
ceb_Latn,0.499,0.2898,0.499
ydd_Hebr,0.1512,0.0661,0.1512
nya_Latn,0.2678,0.153,0.2678
lua_Latn,0.1136,0.0786,0.1136
arb_Latn,0.0158,0.0098,0.0158
asm_Beng,0.2599,0.1227,0.2599
fur_Latn,0.3399,0.179,0.3399
mag_Deva,0.2302,0.1249,0.2302
ace_Arab,0.0,0.0,0.0
fij_Latn,0.0899,0.0588,0.0899
als_Latn,0.6364,0.3409,0.6364
ewe_Latn,0.0751,0.0446,0.0751
bho_Deva,0.2658,0.1403,0.2658
lao_Laoo,0.3567,0.1846,0.3567
tum_Latn,0.1097,0.0651,0.1097
zsm_Latn,0.9397,0.6721,0.9397
grn_Latn,0.1877,0.1098,0.1877
est_Latn,0.6838,0.3902,0.6838
rus_Cyrl,0.833,0.5548,0.833
zho_Hant,0.7006,0.4109,0.7006
hne_Deva,0.2915,0.1477,0.2915
tgk_Cyrl,0.3972,0.1806,0.3972
kin_Latn,0.2233,0.1085,0.2233
tuk_Latn,0.2757,0.1301,0.2757
ibo_Latn,0.1423,0.0875,0.1423
kan_Knda,0.3132,0.1671,0.3132
kor_Hang,0.5306,0.3083,0.5306
lmo_Latn,0.1215,0.067,0.1215
hun_Latn,0.6374,0.3696,0.6374
nob_Latn,0.9496,0.7012,0.9496
sna_Latn,0.1354,0.0759,0.1354
ltz_Latn,0.3794,0.1974,0.3794
quy_Latn,0.1334,0.0816,0.1334
dzo_Tibt,0.0119,0.004,0.0119
lvs_Latn,0.6828,0.3794,0.6828
tat_Cyrl,0.585,0.293,0.585
bul_Cyrl,0.8291,0.5318,0.8291
plt_Latn,0.168,0.0836,0.168
fuv_Latn,0.0692,0.0393,0.0692
mal_Mlym,0.2678,0.1402,0.2678
cjk_Latn,0.0425,0.0343,0.0425
szl_Latn,0.2085,0.1158,0.2085
kik_Latn,0.0761,0.0524,0.0761
dyu_Latn,0.0178,0.0144,0.0178
slk_Latn,0.7243,0.4343,0.7243
dik_Latn,0.0632,0.0335,0.0632
ukr_Cyrl,0.7619,0.451,0.7619
lug_Latn,0.1225,0.0815,0.1225
snd_Arab,0.3814,0.1767,0.3814
ace_Latn,0.2134,0.1339,0.2134
isl_Latn,0.5741,0.3134,0.5741
tzm_Tfng,0.001,0.0001,0.001
fin_Latn,0.6067,0.3392,0.6067
arb_Arab,0.6957,0.3887,0.6957
taq_Tfng,0.001,0.0001,0.001
cym_Latn,0.3844,0.1812,0.3844
mos_Latn,0.0306,0.019,0.0306
bos_Latn,0.9101,0.6085,0.9101
kea_Latn,0.3538,0.2036,0.3538
ast_Latn,0.7945,0.484,0.7945
acm_Arab,0.6611,0.3677,0.6611
ilo_Latn,0.3192,0.1778,0.3192
tir_Ethi,0.0168,0.0079,0.0168
khk_Cyrl,0.3903,0.2125,0.3903
amh_Ethi,0.1927,0.0991,0.1927
tpi_Latn,0.2421,0.1484,0.2421
san_Deva,0.1077,0.0531,0.1077
knc_Latn,0.0366,0.0166,0.0366
khm_Khmr,0.1759,0.0944,0.1759
hye_Armn,0.6047,0.3306,0.6047
bem_Latn,0.1126,0.08,0.1126
uzn_Latn,0.4298,0.2294,0.4298
ory_Orya,0.3123,0.1573,0.3123
min_Arab,0.0,0.0,0.0
ind_Latn,0.9437,0.6988,0.9437
pol_Latn,0.6413,0.406,0.6413
kas_Arab,0.0079,0.0065,0.0079
ita_Latn,0.8291,0.5417,0.8291
min_Latn,0.3834,0.2371,0.3834
ron_Latn,0.7411,0.4631,0.7411
bak_Cyrl,0.4209,0.1986,0.4209
uig_Arab,0.2411,0.1129,0.2411
ces_Latn,0.7401,0.4549,0.7401
pag_Latn,0.4081,0.2722,0.4081
crh_Latn,0.3953,0.202,0.3953
knc_Arab,0.003,0.0011,0.003
mai_Deva,0.3231,0.1544,0.3231
run_Latn,0.1581,0.0835,0.1581
pan_Guru,0.1591,0.0708,0.1591
pbt_Arab,0.2747,0.1397,0.2747
hin_Deva,0.6314,0.3553,0.6314
pes_Arab,0.8389,0.5294,0.8389
twi_Latn,0.1591,0.1104,0.1591
apc_Arab,0.6581,0.3597,0.6581
kmr_Latn,0.2391,0.1247,0.2391
kir_Cyrl,0.4713,0.2488,0.4713
epo_Latn,0.663,0.3769,0.663
lit_Latn,0.6047,0.3324,0.6047
sot_Latn,0.1482,0.0882,0.1482
war_Latn,0.3083,0.1969,0.3083
tel_Telu,0.2905,0.1595,0.2905
luo_Latn,0.0682,0.0518,0.0682
