code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
tir_Ethi,0.1621,0.0537,0.1621
knc_Latn,0.0504,0.0324,0.0504
san_Deva,0.1443,0.0541,0.1443
lug_Latn,0.1393,0.0659,0.1393
ukr_Cyrl,0.9941,0.782,0.9941
dik_Latn,0.0534,0.0318,0.0534
slk_Latn,0.9881,0.7194,0.9881
dyu_Latn,0.0415,0.0243,0.0415
kik_Latn,0.0642,0.0354,0.0642
szl_Latn,0.8706,0.5181,0.8706
cjk_Latn,0.0573,0.0419,0.0573
fin_Latn,0.9891,0.6762,0.9891
tzm_Tfng,0.002,0.0007,0.002
isl_Latn,0.9595,0.545,0.9595
ace_Latn,0.2164,0.1129,0.2164
snd_Arab,0.7698,0.3757,0.7698
taq_Tfng,0.002,0.0002,0.002
arb_Arab,0.9901,0.8046,0.9901
kor_Hang,0.9812,0.7695,0.9812
kan_Knda,0.4279,0.2022,0.4279
ibo_Latn,0.5,0.216,0.5
tuk_Latn,0.7945,0.392,0.7945
quy_Latn,0.1581,0.0714,0.1581
ltz_Latn,0.9684,0.5824,0.9684
sna_Latn,0.3636,0.144,0.3636
nob_Latn,0.9911,0.753,0.9911
hun_Latn,0.9931,0.6855,0.9931
lmo_Latn,0.8152,0.4623,0.8152
tat_Cyrl,0.8587,0.4451,0.8587
lvs_Latn,0.9822,0.6703,0.9822
dzo_Tibt,0.0119,0.0035,0.0119
fuv_Latn,0.0781,0.0496,0.0781
mal_Mlym,0.2016,0.0891,0.2016
plt_Latn,0.4318,0.1759,0.4318
bul_Cyrl,0.9872,0.7476,0.9872
lao_Laoo,0.5306,0.2584,0.5306
bho_Deva,0.3123,0.0916,0.3123
ewe_Latn,0.0435,0.0231,0.0435
fij_Latn,0.1018,0.0486,0.1018
als_Latn,0.9812,0.6498,0.9812
est_Latn,0.9783,0.6559,0.9783
grn_Latn,0.1453,0.0697,0.1453
zsm_Latn,0.9941,0.7831,0.9941
tum_Latn,0.1383,0.0692,0.1383
zho_Hant,0.9891,0.8513,0.9891
rus_Cyrl,0.996,0.8953,0.996
kin_Latn,0.6117,0.2316,0.6117
tgk_Cyrl,0.8923,0.4738,0.8923
hne_Deva,0.3498,0.1293,0.3498
nya_Latn,0.4111,0.1631,0.4111
ydd_Hebr,0.7648,0.4003,0.7648
arb_Latn,0.2569,0.1132,0.2569
lua_Latn,0.0958,0.0566,0.0958
ace_Arab,0.0326,0.0158,0.0326
mag_Deva,0.4387,0.1705,0.4387
fur_Latn,0.8992,0.4962,0.8992
asm_Beng,0.4437,0.2014,0.4437
