code,Qwen/Qwen3-Embedding-0.6B_max,Qwen/Qwen3-Embedding-0.6B_mean,avg
tir_Ethi,0.0208,0.0062,0.0208
pbt_Arab,0.3587,0.0923,0.3587
pan_Guru,0.5889,0.1193,0.5889
run_Latn,0.1403,0.0419,0.1403
mai_Deva,0.8231,0.2618,0.8231
crh_Latn,0.4625,0.1406,0.4625
knc_Arab,0.0287,0.005,0.0287
tel_Telu,0.5593,0.0744,0.5593
luo_Latn,0.2292,0.0687,0.2292
war_Latn,0.6443,0.2261,0.6443
sot_Latn,0.2105,0.061,0.2105
lit_Latn,0.584,0.2377,0.584
epo_Latn,0.7559,0.3633,0.7559
kir_Cyrl,0.3281,0.0757,0.3281
kmr_Latn,0.2213,0.0625,0.2213
apc_Arab,0.8953,0.4712,0.8953
twi_Latn,0.3103,0.0866,0.3103
pes_Arab,0.8379,0.2976,0.8379
hin_Deva,0.9259,0.3636,0.9259
uig_Arab,0.0543,0.0129,0.0543
bak_Cyrl,0.25,0.0536,0.25
ron_Latn,0.9397,0.5004,0.9397
min_Latn,0.4684,0.1748,0.4684
ita_Latn,0.996,0.6417,0.996
kas_Arab,0.2727,0.062,0.2727
pag_Latn,0.5593,0.1993,0.5593
ces_Latn,0.8883,0.4219,0.8883
est_Latn,0.4713,0.1614,0.4713
zsm_Latn,0.9209,0.49,0.9209
grn_Latn,0.4042,0.1172,0.4042
tum_Latn,0.17,0.0481,0.17
lao_Laoo,0.1423,0.0239,0.1423
bho_Deva,0.7698,0.2544,0.7698
ewe_Latn,0.1848,0.049,0.1848
als_Latn,0.5049,0.1619,0.5049
fij_Latn,0.2451,0.0804,0.2451
kin_Latn,0.1423,0.0434,0.1423
tgk_Cyrl,0.1551,0.0428,0.1551
hne_Deva,0.8053,0.2689,0.8053
zho_Hant,0.9891,0.7266,0.9891
rus_Cyrl,0.9486,0.548,0.9486
arb_Latn,0.1117,0.0344,0.1117
lua_Latn,0.2164,0.0716,0.2164
ydd_Hebr,0.0642,0.0178,0.0642
nya_Latn,0.2125,0.0626,0.2125
ace_Arab,0.0356,0.0094,0.0356
mag_Deva,0.8666,0.3001,0.8666
asm_Beng,0.5128,0.0933,0.5128
fur_Latn,0.67,0.2742,0.67
fin_Latn,0.5978,0.2198,0.5978
tzm_Tfng,0.0059,0.0022,0.0059
isl_Latn,0.165,0.0551,0.165
ace_Latn,0.3389,0.1118,0.3389
snd_Arab,0.4012,0.0927,0.4012
ukr_Cyrl,0.8439,0.4088,0.8439
lug_Latn,0.1522,0.0503,0.1522
slk_Latn,0.8567,0.4051,0.8567
dyu_Latn,0.2016,0.0502,0.2016
dik_Latn,0.2243,0.0641,0.2243
szl_Latn,0.582,0.226,0.582
cjk_Latn,0.1798,0.0575,0.1798
kik_Latn,0.2105,0.0543,0.2105
taq_Tfng,0.0099,0.0026,0.0099
arb_Arab,0.9634,0.5481,0.9634
ltz_Latn,0.5919,0.2113,0.5919
quy_Latn,0.2856,0.0709,0.2856
nob_Latn,0.8982,0.497,0.8982
sna_Latn,0.1749,0.0515,0.1749
hun_Latn,0.7895,0.3437,0.7895
lmo_Latn,0.6818,0.2665,0.6818
kor_Hang,0.9111,0.4566,0.9111
kan_Knda,0.5603,0.0917,0.5603
ibo_Latn,0.169,0.05,0.169
tuk_Latn,0.2431,0.0556,0.2431
mal_Mlym,0.5385,0.0883,0.5385
fuv_Latn,0.2194,0.0738,0.2194
plt_Latn,0.1838,0.0519,0.1838
bul_Cyrl,0.9259,0.4791,0.9259
lvs_Latn,0.6413,0.2347,0.6413
tat_Cyrl,0.3419,0.0682,0.3419
dzo_Tibt,0.0049,0.0002,0.0049
