code,FacebookAI/xlm-roberta-base_max,FacebookAI/xlm-roberta-base_mean,avg
ceb_Latn,0.0988,0.0798,0.0988
bjn_Arab,0.001,0.0002,0.001
azj_Latn,0.6008,0.3287,0.6008
mya_Mymr,0.0316,0.0139,0.0316
awa_Deva,0.1314,0.076,0.1314
ary_Arab,0.2806,0.1601,0.2806
eus_Latn,0.6304,0.3362,0.6304
guj_Gujr,0.3043,0.1483,0.3043
ajp_Arab,0.6028,0.3474,0.6028
afr_Latn,0.9239,0.6215,0.9239
aeb_Arab,0.4012,0.2384,0.4012
fon_Latn,0.004,0.0006,0.004
gaz_Latn,0.0079,0.0021,0.0079
arz_Arab,0.4862,0.2701,0.4862
bug_Latn,0.0642,0.028,0.0642
srp_Cyrl,0.8933,0.5436,0.8933
gla_Latn,0.0563,0.0302,0.0563
umb_Latn,0.0287,0.0103,0.0287
kbp_Latn,0.003,0.0017,0.003
kmb_Latn,0.0277,0.0107,0.0277
mkd_Cyrl,0.913,0.5876,0.913
zho_Hant,0.7885,0.4826,0.7885
rus_Cyrl,0.9111,0.6326,0.9111
kin_Latn,0.0267,0.0111,0.0267
hne_Deva,0.0879,0.0479,0.0879
tgk_Cyrl,0.003,0.0011,0.003
bho_Deva,0.083,0.0483,0.083
lao_Laoo,0.2441,0.1282,0.2441
ewe_Latn,0.0158,0.005,0.0158
als_Latn,0.7866,0.426,0.7866
fij_Latn,0.0306,0.0119,0.0306
zsm_Latn,0.9575,0.7147,0.9575
grn_Latn,0.0257,0.0138,0.0257
est_Latn,0.8429,0.4783,0.8429
tum_Latn,0.0287,0.0125,0.0287
mag_Deva,0.1117,0.0593,0.1117
ace_Arab,0.001,0.0003,0.001
asm_Beng,0.0267,0.0101,0.0267
fur_Latn,0.0692,0.0486,0.0692
ydd_Hebr,0.1512,0.067,0.1512
nya_Latn,0.0534,0.0186,0.0534
lua_Latn,0.0455,0.019,0.0455
arb_Latn,0.0158,0.0059,0.0158
taq_Tfng,0.003,0.0008,0.003
arb_Arab,0.7164,0.4219,0.7164
ukr_Cyrl,0.9042,0.5806,0.9042
lug_Latn,0.0464,0.0163,0.0464
szl_Latn,0.1265,0.0755,0.1265
cjk_Latn,0.0296,0.0113,0.0296
kik_Latn,0.0217,0.01,0.0217
slk_Latn,0.915,0.5699,0.915
dyu_Latn,0.0138,0.0055,0.0138
dik_Latn,0.0474,0.0171,0.0474
tzm_Tfng,0.004,0.0027,0.004
fin_Latn,0.8735,0.5524,0.8735
snd_Arab,0.3686,0.1805,0.3686
isl_Latn,0.67,0.3628,0.67
ace_Latn,0.0682,0.0363,0.0682
dzo_Tibt,0.001,0.0007,0.001
lvs_Latn,0.832,0.4477,0.832
tat_Cyrl,0.0109,0.0065,0.0109
plt_Latn,0.0771,0.0399,0.0771
mal_Mlym,0.2974,0.1421,0.2974
fuv_Latn,0.0642,0.0219,0.0642
bul_Cyrl,0.9308,0.644,0.9308
kan_Knda,0.3439,0.1668,0.3439
kor_Hang,0.6937,0.4012,0.6937
tuk_Latn,0.0099,0.0059,0.0099
ibo_Latn,0.0188,0.0065,0.0188
ltz_Latn,0.0474,0.0319,0.0474
quy_Latn,0.0178,0.0082,0.0178
hun_Latn,0.8715,0.5724,0.8715
lmo_Latn,0.0474,0.0303,0.0474
nob_Latn,0.9694,0.7814,0.9694
sna_Latn,0.0346,0.0131,0.0346
ory_Orya,0.168,0.0767,0.168
ind_Latn,0.9625,0.7618,0.9625
min_Arab,0.001,0.0001,0.001
uzn_Latn,0.334,0.164,0.334
pol_Latn,0.8439,0.5472,0.8439
khm_Khmr,0.165,0.0845,0.165
hye_Armn,0.5741,0.2964,0.5741
bem_Latn,0.0395,0.0128,0.0395
tpi_Latn,0.0741,0.0365,0.0741
tir_Ethi,0.002,0.0008,0.002
amh_Ethi,0.1542,0.0691,0.1542
khk_Cyrl,0.3913,0.2021,0.3913
knc_Latn,0.0257,0.0107,0.0257
san_Deva,0.0553,0.0283,0.0553
mos_Latn,0.0128,0.0043,0.0128
bos_Latn,0.9447,0.6463,0.9447
kea_Latn,0.085,0.0651,0.085
cym_Latn,0.4229,0.1977,0.4229
ilo_Latn,0.0781,0.0296,0.0781
acm_Arab,0.6265,0.3649,0.6265
ast_Latn,0.4002,0.2723,0.4002
apc_Arab,0.5336,0.3057,0.5336
kir_Cyrl,0.3923,0.2024,0.3923
kmr_Latn,0.1393,0.0755,0.1393
pes_Arab,0.9012,0.6111,0.9012
hin_Deva,0.6709,0.3675,0.6709
twi_Latn,0.0415,0.0123,0.0415
tel_Telu,0.3182,0.1561,0.3182
luo_Latn,0.0623,0.0191,0.0623
sot_Latn,0.0474,0.0165,0.0474
epo_Latn,0.8458,0.4573,0.8458
lit_Latn,0.8271,0.4744,0.8271
war_Latn,0.1077,0.0636,0.1077
mai_Deva,0.0366,0.0179,0.0366
crh_Latn,0.1107,0.0721,0.1107
knc_Arab,0.003,0.0007,0.003
pbt_Arab,0.2678,0.1347,0.2678
pan_Guru,0.1759,0.0758,0.1759
run_Latn,0.0247,0.009,0.0247
pag_Latn,0.1709,0.094,0.1709
ces_Latn,0.8874,0.565,0.8874
kas_Arab,0.0069,0.0049,0.0069
bak_Cyrl,0.0089,0.0064,0.0089
uig_Arab,0.1542,0.0705,0.1542
ita_Latn,0.9279,0.6434,0.9279
ron_Latn,0.913,0.6461,0.913
min_Latn,0.1166,0.091,0.1166
